player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Julián Álvarez,DT,19,atletico madrid,sevilla,1,85,1,0,0.9,0.7,2,2,0,22,90.9,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,1,1,0,20,124.0,42.0,1,1,2,33.3,25_26,11,01/11/2025,1,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [6, 2.0]}, {'tiros_puerta': [9, 16.0]}, {'pases_clave': [4, 36.0]}, {'corners': [6, 51.0]}]"
Nahuel Molina,DF,16,atletico madrid,sevilla,0,5,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,1,0,1,3,25.0,8.0,0,0,0,0.0,25_26,11,01/11/2025,1,"[{'rojas': [10, 1.0]}]"
Alexander Sørloth,DT,9,atletico madrid,sevilla,1,67,0,0,0.1,0.3,2,1,1,13,38.5,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,3,0,2,15,138.0,77.0,3,5,1,83.3,25_26,11,01/11/2025,1,"[{'rojas': [2, 1.0]}]"
Thiago Almada,MC,11,atletico madrid,sevilla,0,23,1,1,0.8,0.2,1,0,1,18,100.0,0,0,0.0,0.0,0.0,14,0,1,0,1,0,0,0,0,2,2,0,16,77.0,42.0,0,0,1,0.0,25_26,11,01/11/2025,1,[]
Nicolás González,MC,23,atletico madrid,sevilla,1,68,0,0,0.7,0.0,4,2,2,27,77.8,0,0,0.0,0.0,0.0,8,1,2,0,1,2,0,2,3,1,0,1,19,109.0,54.0,2,5,2,71.4,25_26,11,01/11/2025,1,[]
Conor Gallagher,MC,4,atletico madrid,sevilla,0,22,0,0,0.0,0.0,1,1,0,11,90.9,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,1,0,1,9,38.0,26.0,0,0,0,0.0,25_26,11,01/11/2025,1,"[{'apariciones_suplente': [1, 14.0]}]"
Koke,MC,6,atletico madrid,sevilla,1,90,0,0,0.0,0.0,0,0,0,62,95.2,0,0,0.0,0.0,0.0,6,4,1,0,0,0,0,0,1,0,0,0,31,77.0,16.0,0,3,0,100.0,25_26,11,01/11/2025,1,"[{'pases_completados_pct': [10, 91.5]}]"
Alex Baena,MC,10,atletico madrid,sevilla,1,73,0,0,0.0,0.7,1,1,0,39,61.5,0,0,0.0,0.0,0.0,10,0,1,0,1,1,0,1,0,2,1,1,22,133.0,83.0,1,0,0,0.0,25_26,11,01/11/2025,1,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Antoine Griezmann,DT,7,atletico madrid,sevilla,0,17,1,0,0.8,0.0,2,1,1,14,78.6,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,0,0,0,0,8,52.0,31.0,2,0,1,0.0,25_26,11,01/11/2025,1,"[{'goles': [9, 6.0]}, {'goles_90': [5, 0.8]}, {'apariciones_suplente': [3, 13.0]}]"
Giuliano Simeone,MC,20,atletico madrid,sevilla,1,85,0,1,0.0,0.8,0,0,0,36,72.2,0,0,0.0,0.0,0.0,11,1,2,0,2,1,0,1,0,4,2,2,28,143.0,62.0,3,0,1,0.0,25_26,11,01/11/2025,1,"[{'asistencias': [8, 4.0]}]"
Giacomo Raspadori,DT,22,atletico madrid,sevilla,0,5,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,1,0,100.0,25_26,11,01/11/2025,1,"[{'apariciones_suplente': [9, 10.0]}]"
Matteo Ruggeri,DF,3,atletico madrid,sevilla,1,90,0,0,0.0,0.0,0,0,0,46,73.9,0,0,0.0,0.0,0.0,6,4,2,0,1,5,1,4,3,2,0,2,23,83.0,27.0,1,1,1,50.0,25_26,11,01/11/2025,1,"[{'centros_area': [4, 10.0]}]"
Dávid Hancko,DF,17,atletico madrid,sevilla,1,90,0,0,0.0,0.0,0,0,0,65,86.2,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,1,0,0,0,47,282.0,202.0,3,2,3,40.0,25_26,11,01/11/2025,1,[]
José María Giménez,DF,2,atletico madrid,sevilla,1,90,0,0,0.2,0.0,1,1,0,58,86.2,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,2,0,0,0,42,154.0,113.0,0,2,3,40.0,25_26,11,01/11/2025,1,"[{'pases_completados_pct': [9, 91.8]}]"
Marcos Llorente,DF,14,atletico madrid,sevilla,1,90,0,0,0.0,0.0,0,0,0,49,89.8,0,0,0.0,0.0,0.0,8,2,2,0,0,0,0,0,1,1,1,0,27,103.0,66.0,1,0,1,0.0,25_26,11,01/11/2025,1,"[{'rojas': [8, 1.0]}]"
Jan Oblak,PT,13,atletico madrid,sevilla,1,90,0,0,0.0,0.0,0,0,0,39,79.5,0,0,0.0,100.0,0.1,10,0,0,0,0,0,0,0,0,0,0,0,23,61.0,37.0,0,0,0,0.0,25_26,11,01/11/2025,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [4, 6.0]}]"
Isaac Romero,DT,7,sevilla,atletico madrid,1,78,0,0,0.1,0.0,2,2,0,18,88.9,1,0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,1,3,1,2,9,59.0,23.0,1,2,3,40.0,25_26,11,01/11/2025,0,"[{'rojas': [2, 1.0]}]"
Chidera Ejuke,MC,21,sevilla,atletico madrid,0,12,0,0,0.0,0.0,0,0,0,14,85.7,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,1,0,1,8,45.0,16.0,0,1,0,100.0,25_26,11,01/11/2025,0,[]
Ruben Vargas,DT,11,sevilla,atletico madrid,1,90,0,0,0.1,0.0,2,2,0,45,75.6,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,3,2,1,1,39,249.0,102.0,5,2,1,66.7,25_26,11,01/11/2025,0,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [6, 0.42]}, {'penaltis_marcados': [9, 1.0]}]"
Juanlu Sánchez,DT,16,sevilla,atletico madrid,1,71,0,0,0.0,0.0,0,0,0,26,76.9,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,3,1,1,0,20,63.0,24.0,1,0,2,0.0,25_26,11,01/11/2025,0,"[{'rojas': [8, 1.0]}]"
Akor Adams,DT,9,sevilla,atletico madrid,0,19,0,0,0.0,0.0,1,0,1,6,33.3,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2,23.0,22.0,1,2,0,100.0,25_26,11,01/11/2025,0,[]
Peque,MC,14,sevilla,atletico madrid,1,78,0,0,0.0,0.1,0,0,0,32,84.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,2,0,1,25,158.0,122.0,5,0,3,0.0,25_26,11,01/11/2025,0,[]
Alfon,MC,17,sevilla,atletico madrid,0,12,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,3,12.0,2.0,0,0,0,0.0,25_26,11,01/11/2025,0,"[{'rojas': [8, 1.0]}]"
Djibril Sow,MC,20,sevilla,atletico madrid,1,90,0,0,0.0,0.0,1,1,0,64,93.8,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,0,48,282.0,94.0,2,0,0,0.0,25_26,11,01/11/2025,0,"[{'goles_por_tiro': [9, 0.25]}]"
Batista Mendy,MC,19,sevilla,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,22,95.5,0,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,0,0,0,0,15,78.0,17.0,0,0,1,0.0,25_26,11,01/11/2025,0,"[{'faltas_cometidas': [7, 27.0]}]"
Nemanja Gudelj,MC,6,sevilla,atletico madrid,0,45,0,0,0.1,0.0,2,1,1,22,95.5,0,0,0.0,0.0,0.0,0,2,1,0,0,0,0,0,1,1,0,1,17,82.0,13.0,0,1,2,33.3,25_26,11,01/11/2025,0,[]
Gabriel Suazo,DF,12,sevilla,atletico madrid,1,90,0,0,0.0,0.1,0,0,0,74,87.8,0,0,0.0,0.0,0.0,3,5,3,0,1,2,0,2,3,1,1,0,51,278.0,156.0,2,1,0,100.0,25_26,11,01/11/2025,0,"[{'centros_area': [8, 9.0]}, {'entradas': [4, 45.0]}]"
Marcão,DF,23,sevilla,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,64,89.1,1,0,0.0,0.0,0.0,1,3,3,0,1,2,1,1,7,0,0,0,51,394.0,169.0,0,2,4,33.3,25_26,11,01/11/2025,0,"[{'rojas': [2, 1.0]}]"
César Azpilicueta,DF,3,sevilla,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,38,84.2,0,0,0.0,0.0,0.0,3,0,0,0,0,1,1,0,2,0,0,0,19,89.0,28.0,0,0,1,0.0,25_26,11,01/11/2025,0,[]
Tanguy Nianzou,DF,5,sevilla,atletico madrid,0,45,0,0,0.0,0.0,1,1,0,30,96.7,1,0,0.0,0.0,0.0,-3,2,0,0,0,0,0,0,6,0,0,0,22,132.0,23.0,0,2,1,66.7,25_26,11,01/11/2025,0,"[{'rojas': [8, 1.0]}]"
Carmona,DF,2,sevilla,atletico madrid,1,90,0,0,0.0,0.0,1,1,0,76,75.0,0,0,0.0,0.0,0.0,3,4,4,0,3,2,1,1,3,2,2,0,54,343.0,169.0,3,3,1,75.0,25_26,11,01/11/2025,0,"[{'entradas': [10, 40.0]}, {'amarillas': [1, 8.0]}]"
Odysseas Vlachodimos,PT,1,sevilla,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,30,76.7,0,0,3.0,66.7,3.2,2,0,0,0,0,0,0,0,0,0,0,0,19,89.0,46.0,0,0,1,0.0,25_26,11,01/11/2025,0,"[{'save_pct': [8, 76.2]}]"
