player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Lucas Boyé,DT,alaves,espanyol,1,89,1,0,0.1,0.2,2,0,2,36,80.6,2,1,0.0,0.0,0.0,12,2,4,0,2,2,1,1,3,10,6,4,35,140.0,35.0,1,1,5,16.7,25_26,11,02/11/2025,1,"[{'penaltis_marcados': [9, 1.0]}, {'rojas': [2, 1.0]}, {'faltas_cometidas': [7, 27.0]}]"
Toni Martínez,DT,alaves,espanyol,1,61,0,0,0.0,0.0,0,0,0,23,60.9,0,0,0.0,0.0,0.0,4,0,0,0,0,2,1,1,2,3,2,1,17,68.0,34.0,2,3,2,60.0,25_26,11,02/11/2025,1,[]
Ander Guevara,DT,alaves,espanyol,0,29,0,0,0.0,0.0,0,0,0,12,75.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,4,0,0,0,6,24.0,14.0,1,3,1,75.0,25_26,11,02/11/2025,1,[]
Carles Aleñá,MC,alaves,espanyol,1,60,0,0,0.0,0.0,1,1,0,36,83.3,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,2,0,0,0,25,88.0,56.0,2,1,1,50.0,25_26,11,02/11/2025,1,[]
Abde Rebbach,MC,alaves,espanyol,0,30,0,0,0.2,0.0,2,2,0,8,75.0,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,1,3,0,3,10,73.0,60.0,2,1,0,100.0,25_26,11,02/11/2025,1,[]
Denis Suárez,MC,alaves,espanyol,1,75,1,0,0.2,0.2,2,1,1,47,95.7,1,0,0.0,0.0,0.0,10,3,2,0,0,0,0,0,1,2,1,1,29,157.0,78.0,0,0,0,0.0,25_26,11,02/11/2025,1,[]
Pablo Ibáñez,MC,alaves,espanyol,0,15,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,2,2,1,1,4,46.0,11.0,0,0,1,0.0,25_26,11,02/11/2025,1,"[{'faltas_recibidas': [9, 32.0]}]"
Antonio Blanco,MC,alaves,espanyol,1,90,0,0,0.2,0.0,2,2,0,54,94.4,0,0,0.0,0.0,0.0,6,3,2,0,1,5,5,0,0,1,1,0,32,183.0,45.0,1,2,2,50.0,25_26,11,02/11/2025,1,"[{'entradas': [8, 42.0]}, {'intercepciones': [2, 27.0]}, {'faltas_cometidas': [6, 28.0]}]"
Calebe,MC,alaves,espanyol,1,61,0,0,0.0,0.0,1,1,0,38,94.7,0,0,0.0,0.0,0.0,5,3,1,0,0,2,1,1,0,5,2,2,27,116.0,51.0,1,0,0,0.0,25_26,11,02/11/2025,1,[]
Carlos Vicente,MC,alaves,espanyol,0,29,0,0,0.4,0.0,1,1,0,8,75.0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,2,2,0,2,6,46.0,36.0,1,0,1,0.0,25_26,11,02/11/2025,1,"[{'penaltis_marcados': [2, 3.0]}, {'centros_area': [4, 10.0]}]"
