player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Julián Álvarez,DT,atletico madrid,levante,1,90,0,0,0.7,0.3,5,3,2,65,80.0,0,0,0.0,0.0,0.0,8,2,1,0,0,0,0,0,2,3,2,1,42,261.0,149.0,8,1,1,50.0,25_26,12,08/11/2025,1,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [6, 2.0]}, {'tiros_puerta': [9, 16.0]}, {'pases_clave': [4, 36.0]}, {'corners': [6, 51.0]}]"
Alexander Sørloth,DT,atletico madrid,levante,1,60,0,0,0.2,0.0,1,1,0,7,85.7,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,1,0,0,0,7,31.0,0.0,0,1,5,16.7,25_26,12,08/11/2025,1,"[{'rojas': [2, 1.0]}]"
Thiago Almada,MC,atletico madrid,levante,0,30,0,0,0.1,0.0,3,1,2,26,88.5,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,1,0,0,0,24,144.0,80.0,2,0,1,0.0,25_26,12,08/11/2025,1,[]
Alex Baena,MC,atletico madrid,levante,1,78,0,0,0.1,0.2,3,2,1,57,70.2,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,1,4,1,3,49,392.0,176.0,3,1,0,100.0,25_26,12,08/11/2025,1,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Conor Gallagher,MC,atletico madrid,levante,0,12,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,16.0,10.0,1,0,1,0.0,25_26,12,08/11/2025,1,"[{'apariciones_suplente': [1, 14.0]}]"
Koke,MC,atletico madrid,levante,1,90,0,0,0.0,0.1,0,0,0,93,91.4,0,0,0.0,0.0,0.0,4,3,3,0,2,1,0,1,0,0,0,0,61,198.0,118.0,0,0,0,0.0,25_26,12,08/11/2025,1,"[{'pases_completados_pct': [10, 91.5]}]"
Pablo Barrios,MC,atletico madrid,levante,1,60,0,0,0.5,0.2,3,2,1,47,87.2,0,0,0.0,0.0,0.0,4,3,2,0,0,0,0,0,1,2,0,2,40,178.0,79.0,2,0,0,0.0,25_26,12,08/11/2025,1,"[{'regates_exitosos': [10, 29.0]}]"
Antoine Griezmann,DT,atletico madrid,levante,0,30,2,0,1.3,0.6,3,1,2,20,95.0,0,0,0.0,0.0,0.0,16,0,1,0,1,0,0,0,0,0,0,0,12,19.0,7.0,1,0,1,0.0,25_26,12,08/11/2025,1,"[{'goles': [9, 6.0]}, {'goles_90': [5, 0.8]}, {'apariciones_suplente': [3, 13.0]}]"
Giuliano Simeone,MC,atletico madrid,levante,1,72,0,0,0.2,0.1,2,1,1,32,84.4,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,6,0,5,35,183.0,79.0,3,1,0,100.0,25_26,12,08/11/2025,1,"[{'asistencias': [8, 4.0]}]"
Nicolás González,DF,atletico madrid,levante,0,18,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,2,2,2,0,1,0,0,0,0,0,0,0,7,15.0,4.0,0,0,0,0.0,25_26,12,08/11/2025,1,[]
