player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Gorka Guruzeta,DT,athletic,oviedo,1,83,0,0,0.5,0.3,5,4,1,27,74.1,0,0,0.0,0.0,0.0,7,0,1,0,1,1,0,1,0,4,1,3,22,67.0,16.0,0,3,3,50.0
Mikel Vesga,MC,athletic,oviedo,0,7,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,2,5.0,1.0,0,0,0,0.0
Nico Williams,DT,athletic,oviedo,1,71,1,0,0.1,0.3,1,0,1,27,70.4,0,0,0.0,0.0,0.0,13,1,1,0,1,1,0,1,0,5,3,2,29,155.0,80.0,2,0,0,0.0
Roberto Navarro,DT,athletic,oviedo,0,19,0,0,0.0,0.1,1,0,1,8,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,8,53.0,35.0,2,0,1,0.0
Álex Berenguer,DT,athletic,oviedo,1,83,0,0,0.7,0.0,6,2,4,38,65.8,0,0,0.0,0.0,0.0,9,1,4,0,3,1,0,1,0,3,2,1,29,218.0,75.0,3,3,1,75.0
Nicolás Serrano,DT,athletic,oviedo,0,7,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,10.0,4.0,0,0,0,0.0
Selton Sánchez,MC,athletic,oviedo,1,63,0,0,0.0,0.1,1,1,0,17,70.6,0,0,0.0,0.0,0.0,5,1,2,0,2,2,0,2,0,1,1,0,17,87.0,28.0,0,0,0,0.0
Unai Gómez,MC,athletic,oviedo,0,27,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0,0,1,0.0
Mikel Jauregizar,MC,athletic,oviedo,1,90,0,0,0.1,0.0,2,2,0,38,81.6,0,0,0.0,0.0,0.0,7,3,0,0,0,2,0,2,0,0,0,0,32,92.0,27.0,0,0,1,0.0
Iñigo Ruiz de Galarreta,MC,athletic,oviedo,1,71,0,0,0.0,0.0,1,1,0,42,90.5,1,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,3,3,0,35,146.0,47.0,1,0,2,0.0
Alejandro Rego,MC,athletic,oviedo,0,19,0,0,0.0,0.0,1,1,0,14,71.4,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,7,22.0,7.0,0,0,0,0.0
Yuri Berchiche,DF,athletic,oviedo,1,90,0,0,0.0,0.0,0,0,0,59,81.4,0,0,0.0,0.0,0.0,9,1,1,0,1,1,0,1,5,0,0,0,30,159.0,116.0,3,3,1,75.0
Aymeric Laporte,DF,athletic,oviedo,1,90,0,1,0.0,0.1,1,1,0,56,96.4,0,0,0.0,0.0,0.0,16,1,2,0,1,0,0,0,8,0,0,0,49,225.0,117.0,0,3,2,60.0
Daniel Vivian,DF,athletic,oviedo,1,90,0,0,0.0,0.3,1,1,0,52,92.3,0,0,0.0,0.0,0.0,11,2,1,0,0,0,0,0,2,0,0,0,40,162.0,106.0,0,3,0,100.0
Andoni Gorosabel,DF,athletic,oviedo,1,90,0,0,0.0,0.1,1,1,0,45,84.4,0,0,0.0,0.0,0.0,10,2,1,0,0,2,0,2,8,1,0,1,27,123.0,76.0,3,3,1,75.0
Unai Simón,PT,athletic,oviedo,1,90,0,0,0.0,0.0,0,0,0,39,76.9,0,0,0.0,100.0,0.6,11,0,0,0,0,0,0,0,4,0,0,0,27,91.0,55.0,0,0,0,0.0
Salomón Rondón,DT,oviedo,athletic,1,71,0,0,0.1,0.0,1,1,0,12,66.7,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,3,0,0,0,11,8.0,4.0,0,2,2,50.0
Pablo Agudín,DT,oviedo,athletic,0,19,0,0,0.0,0.0,1,1,0,2,50.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,27.0,12.0,1,0,0,0.0
Ilyas Chaira,DT,oviedo,athletic,1,52,0,0,0.0,0.0,0,0,0,12,50.0,0,0,0.0,0.0,0.0,1,3,4,0,3,0,0,0,0,2,0,2,10,46.0,9.0,1,0,2,0.0
Haissem Hassan,DT,oviedo,athletic,0,38,0,0,0.0,0.0,0,0,0,16,81.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,12,104.0,39.0,1,0,0,0.0
Federico Viñas,DT,oviedo,athletic,1,90,0,0,0.0,0.0,0,0,0,18,77.8,0,0,0.0,0.0,0.0,4,2,0,0,0,0,0,0,2,4,3,1,17,73.0,29.0,1,2,5,28.6
Alberto Reina,MC,oviedo,athletic,1,71,0,0,0.0,0.1,0,0,0,24,83.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,11,39.0,3.0,0,0,0,0.0
