player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Lucas Beltrán,ARG,24,DT,15,valencia,betis,1,67,0,0,0.5,0.3,3,3,0,18,94.4,0,0,0.0,0.0,0.0,6,0,2,0,2,1,0,1,0,1,0,1,9,83.0,36.0,2,2,3,40.0,25_26,12,09/11/2025,1,[]
Hugo Duro,ESP,25,DT,9,valencia,betis,0,23,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1.0,0,1,1,50.0,25_26,12,09/11/2025,1,"[{'goles': [9, 6.0]}, {'goles_90': [8, 0.54]}, {'goles_por_tiro': [5, 0.3]}]"
Arnaut Danjuma,NED,28,DT,7,valencia,betis,1,90,0,0,0.6,0.1,4,2,2,24,70.8,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,0,5,5,0,21,243.0,176.0,8,0,1,0.0,25_26,12,09/11/2025,1,[]
Diego López,ESP,23,DT,16,valencia,betis,1,67,0,0,0.4,0.0,2,1,1,27,77.8,0,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,0,3,2,0,21,194.0,76.0,3,0,4,0.0,25_26,12,09/11/2025,1,[]
Luis Rioja,ESP,32,DT,11,valencia,betis,0,23,1,0,0.1,0.2,2,1,1,19,73.7,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,2,1,0,13,135.0,70.0,3,0,0,0.0,25_26,12,09/11/2025,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Domingos André Ribeiro Almeida,POR,25,MC,10,valencia,betis,1,76,0,0,0.0,0.5,1,1,0,38,76.3,0,0,0.0,0.0,0.0,5,0,0,0,0,2,0,2,1,0,0,0,22,110.0,58.0,1,0,0,0.0,25_26,12,09/11/2025,1,[]
Dani Raba,ESP,30,MC,19,valencia,betis,0,14,0,0,0.1,0.0,2,2,0,12,50.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,0,0,0,9,37.0,7.0,0,0,0,0.0,25_26,12,09/11/2025,1,"[{'penaltis_marcados': [6, 4.0]}]"
José Luis García Vayá,ESP,27,MC,18,valencia,betis,1,77,0,0,0.0,0.0,0,0,0,53,94.3,1,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,2,0,0,0,30,169.0,70.0,1,0,1,0.0,25_26,12,09/11/2025,1,"[{'penaltis_marcados': [1, 7.0]}, {'pases_clave': [8, 55.0]}, {'pases_ultimo_tercio': [8, 216.0]}, {'corners': [4, 108.0]}, {'entradas': [6, 78.0]}, {'intercepciones': [3, 49.0]}, {'minutos': [6, 3302.0]}]"
Baptiste Santamaria,FRA,30,MC,22,valencia,betis,0,13,0,0,0.0,0.0,0,0,0,14,92.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,8,35.0,16.0,0,0,0,0.0,25_26,12,09/11/2025,1,[]
Javier Guerra,ESP,22,MC,8,valencia,betis,1,90,0,0,0.1,0.0,1,1,0,54,74.1,0,0,0.0,0.0,0.0,3,1,2,0,1,1,0,1,0,4,2,1,31,156.0,70.0,0,0,0,0.0,25_26,12,09/11/2025,1,"[{'rojas': [10, 1.0]}]"
