player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Robert Lewandowski,DT,barcelona,alaves,1,59,0,1,0.2,0.5,2,0,2,12,91.7,0,0,0.0,0.0,0.0,11,1,1,0,1,0,0,0,1,1,1,0,12,51.0,16.0,1,2,0,100.0
Ferrán Torres,DT,barcelona,alaves,0,31,0,0,0.0,0.1,0,0,0,7,42.9,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,0,1,0,1,4,5.0,0.0,0,0,1,0.0
Raphinha,DT,barcelona,alaves,1,59,0,1,0.2,0.5,3,2,1,27,74.1,0,0,0.0,0.0,0.0,9,0,1,0,1,0,0,0,0,1,1,0,18,115.0,52.0,4,0,0,0.0
Pedri,MC,barcelona,alaves,0,31,0,0,0.0,0.0,0,0,0,31,90.3,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,0,3,3,0,19,140.0,76.0,1,1,0,100.0
Lamine Yamal,DT,barcelona,alaves,1,90,1,1,0.7,0.5,7,6,1,58,74.1,0,0,0.0,0.0,0.0,18,3,1,0,0,3,0,3,0,15,10,5,48,380.0,205.0,5,0,1,0.0
Dani Olmo,MC,barcelona,alaves,1,90,2,0,1.0,0.3,3,1,2,53,83.0,0,0,0.0,0.0,0.0,17,5,2,0,1,2,0,2,1,1,1,0,37,137.0,71.0,2,1,1,50.0
Marc Casado,MC,barcelona,alaves,1,90,0,0,0.0,0.0,1,1,0,76,89.5,0,0,0.0,0.0,0.0,3,2,3,0,2,2,0,2,1,1,1,0,47,230.0,58.0,0,0,0,0.0
Marc Bernal,MC,barcelona,alaves,1,45,0,0,0.0,0.0,1,1,0,28,96.4,1,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0,19,96.0,25.0,0,0,2,0.0
Marcus Rashford,DT,barcelona,alaves,0,45,0,0,0.0,0.0,0,0,0,24,70.8,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,4,1,2,13,104.0,38.0,2,1,0,100.0
Alejandro Balde,DF,barcelona,alaves,1,90,0,0,0.0,0.0,0,0,0,70,91.4,0,0,0.0,0.0,0.0,7,3,2,0,0,1,0,1,3,5,2,2,41,259.0,145.0,3,0,0,0.0
Gerard Martín,DF,barcelona,alaves,1,90,0,0,0.0,0.0,0,0,0,111,92.8,0,0,0.0,0.0,0.0,5,5,4,0,1,0,0,0,5,0,0,0,76,506.0,309.0,1,3,2,60.0
Pau Cubarsí,DF,barcelona,alaves,1,83,0,0,0.0,0.0,0,0,0,105,98.1,0,0,0.0,0.0,0.0,3,1,1,0,1,2,1,1,1,0,0,0,79,486.0,191.0,0,1,0,100.0
Andreas Christensen,DF,barcelona,alaves,0,7,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,4,19.0,13.0,0,0,0,0.0
Eric García,DF,barcelona,alaves,1,45,0,0,0.2,0.0,1,1,0,38,94.7,0,0,0.0,0.0,0.0,2,2,2,0,1,1,0,1,0,0,0,0,15,76.0,52.0,1,0,0,0.0
Jules Koundé,DF,barcelona,alaves,0,45,0,0,0.0,0.0,0,0,0,39,92.3,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,23,115.0,66.0,1,0,0,0.0
