player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Vladyslav Vanat,DT,girona,real madrid,1,82,0,0,0.3,0.0,1,0,1,15,80.0,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,3,2,1,14,74.0,27.0,2,2,1,66.7
Lancinet Kourouma,MC,girona,real madrid,0,8,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0.0
Bryan Gil,DT,girona,real madrid,1,71,0,0,0.0,0.0,1,1,0,15,86.7,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,4,0,3,19,142.0,41.0,4,1,0,100.0
Joel Roca,DT,girona,real madrid,0,19,0,0,0.1,0.0,2,1,1,4,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,81.0,58.0,2,0,0,0.0
Viktor Tsyhankov,DT,girona,real madrid,1,71,0,1,0.1,0.2,2,1,1,34,73.5,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,0,4,0,4,29,180.0,122.0,4,0,1,0.0
Yaser Asprilla,DT,girona,real madrid,0,19,0,0,0.0,0.1,0,0,0,7,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,1,0,1,5,14.0,9.0,0,0,1,0.0
Azzedine Ounahi,MC,girona,real madrid,1,82,1,0,0.2,0.1,2,1,1,43,83.7,1,0,0.0,0.0,0.0,10,2,2,0,1,1,0,1,0,4,1,3,35,175.0,59.0,2,0,0,0.0
Abel Ruiz,DT,girona,real madrid,0,8,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,34.0,0.0,0,0,1,0.0
Axel Witsel,MC,girona,real madrid,1,90,0,0,0.0,0.0,1,1,0,50,90.0,0,0,0.0,0.0,0.0,5,0,1,0,1,2,1,1,4,0,0,0,32,128.0,68.0,1,2,0,100.0
Iván Martín,MC,girona,real madrid,1,90,0,0,0.0,0.3,0,0,0,47,95.7,0,0,0.0,0.0,0.0,6,3,1,0,0,1,0,1,1,2,0,2,40,125.0,53.0,1,0,0,0.0
Álex Moreno,DF,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,47,83.0,0,0,0.0,0.0,0.0,5,2,1,0,1,3,2,1,8,0,0,0,30,121.0,67.0,2,1,0,100.0
Vitor Reis,DF,girona,real madrid,1,90,0,0,0.1,0.0,1,1,0,44,93.2,0,0,0.0,0.0,0.0,5,0,1,0,1,4,4,0,12,0,0,0,32,188.0,16.0,0,3,4,42.9
Arnau Martinez,DF,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,46,84.8,0,0,0.0,0.0,0.0,5,5,4,0,1,2,2,0,6,0,0,0,30,59.0,19.0,0,1,0,100.0
Hugo Rincón,DF,girona,real madrid,1,71,0,0,0.0,0.0,0,0,0,42,81.0,0,0,0.0,0.0,0.0,-1,2,2,0,1,1,0,1,2,0,0,0,29,160.0,112.0,3,0,0,0.0
Alejandro Francés,DF,girona,real madrid,0,19,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,2,2.0,1.0,0,0,0,0.0
Paulo Gazzaniga,PT,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,53,69.8,1,0,1.0,100.0,1.4,6,0,0,0,0,0,0,0,1,0,0,0,36,150.0,67.0,0,0,0,0.0
Kylian Mbappé,DT,real madrid,girona,1,90,1,0,1.0,0.5,4,4,0,38,76.3,0,0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,4,3,1,38,190.0,92.0,3,0,0,0.0
Vinicius Júnior,DT,real madrid,girona,1,90,0,0,0.7,0.0,7,6,1,35,74.3,0,0,0.0,0.0,0.0,6,1,1,0,0,5,0,5,0,5,2,3,42,293.0,143.0,7,0,0,0.0
Arda Güler,DT,real madrid,girona,1,45,0,0,0.1,0.0,2,2,0,22,81.8,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,20,51.0,13.0,0,0,0,0.0
Eduardo Camavinga,MC,real madrid,girona,0,45,0,0,0.0,0.1,0,0,0,38,94.7,0,0,0.0,0.0,0.0,2,3,3,0,0,2,1,1,1,0,0,0,25,130.0,93.0,3,1,0,100.0
Jude Bellingham,MC,real madrid,girona,1,90,0,0,0.1,0.1,4,4,0,56,92.9,0,0,0.0,0.0,0.0,6,3,2,0,0,0,0,0,0,1,0,1,50,248.0,128.0,2,2,0,100.0
Aurélien Tchouaméni,MC,real madrid,girona,1,71,0,0,0.1,0.5,2,2,0,61,88.5,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,0,0,0,0,58,214.0,101.0,1,0,2,0.0
Rodrygo,DT,real madrid,girona,0,19,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,7,31.0,19.0,1,0,3,0.0
Federico Valverde,MC,real madrid,girona,1,90,0,0,0.1,0.1,2,2,0,54,88.9,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,1,1,0,43,233.0,127.0,2,0,0,0.0
Fran Garcia,DF,real madrid,girona,1,89,0,0,0.0,0.0,0,0,0,59,86.4,0,0,0.0,0.0,0.0,4,2,2,0,1,0,0,0,3,1,0,1,50,185.0,79.0,2,1,0,100.0
Álvaro Carreras,DF,real madrid,girona,0,1,0,0,0.0,0.0,0,0,0,8,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,3,2.0,1.0,0,1,0,100.0
Antonio Rüdiger,DF,real madrid,girona,1,90,0,0,0.0,0.0,0,0,0,82,92.7,0,0,0.0,0.0,0.0,5,4,2,0,0,1,1,0,3,0,0,0,71,240.0,92.0,1,2,1,66.7
Éder Militão,DF,real madrid,girona,1,90,0,0,0.5,0.0,3,1,2,72,94.4,0,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,0,2,1,0,56,231.0,106.0,2,2,3,40.0
Trent AlexanderArnold,DF,real madrid,girona,1,89,0,0,0.0,0.1,0,0,0,84,79.8,0,0,0.0,0.0,0.0,2,4,3,0,0,0,0,0,0,0,0,0,64,178.0,80.0,1,0,1,0.0
Gonzalo García,DT,real madrid,girona,0,1,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0.0
Thibaut Courtois,PT,real madrid,girona,1,90,0,0,0.0,0.0,0,0,0,37,91.9,0,0,1.0,75.0,1.2,6,0,0,0,0,0,0,0,2,0,0,0,31,127.0,62.0,0,0,0,0.0
