player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Rafa Mir,DT,10,elche,girona,1,90,2,0,1.1,0.2,3,0,3,21,85.7,0,0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,0,0,0,19,51.0,18.0,0,0,0,0.0,25_26,15,07/12/2025,1,"[{'goles': [9, 6.0]}, {'tiros_puerta': [2, 22.0]}, {'faltas_cometidas': [4, 30.0]}]"
Grady Diangana,DT,19,elche,girona,1,45,0,0,0.0,0.0,1,1,0,11,90.9,0,0,0.0,0.0,0.0,3,1,1,0,0,2,0,2,0,1,1,0,13,56.0,19.0,1,0,0,0.0,25_26,15,07/12/2025,1,[]
Rodrigo Mendoza,DT,30,elche,girona,0,45,0,0,0.0,0.0,0,0,0,19,94.7,0,0,0.0,0.0,0.0,2,2,1,0,1,0,0,0,0,1,1,0,19,115.0,43.0,0,0,1,0.0,25_26,15,07/12/2025,1,[]
Aleix Febas,MC,14,elche,girona,1,90,0,0,0.4,0.0,3,1,2,63,88.9,0,0,0.0,0.0,0.0,8,3,2,0,0,0,0,0,2,2,2,0,44,179.0,52.0,1,0,0,0.0,25_26,15,07/12/2025,1,"[{'pases_ultimo_tercio': [6, 105.0]}, {'minutos': [5, 1530.0]}, {'faltas_recibidas': [1, 55.0]}]"
Marc Aguado,MC,8,elche,girona,1,81,0,0,0.0,0.0,0,0,0,50,92.0,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,2,0,0,0,27,110.0,42.0,1,0,0,0.0,25_26,15,07/12/2025,1,"[{'intercepciones': [6, 23.0]}]"
John Donald,MC,18,elche,girona,0,9,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,1,0.0,25_26,15,07/12/2025,1,[]
Álvaro Núñez,MC,15,elche,girona,1,90,0,0,0.1,0.5,1,1,0,51,98.0,0,0,0.0,0.0,0.0,10,1,1,0,1,1,1,0,2,0,0,0,32,159.0,45.0,0,1,0,100.0,25_26,15,07/12/2025,1,"[{'centros_area': [2, 12.0]}]"
Germán Valera,MC,11,elche,girona,1,70,1,0,0.0,0.0,1,0,1,34,82.4,0,0,0.0,0.0,0.0,13,2,1,0,0,2,0,2,1,1,0,1,24,112.0,61.0,4,0,0,0.0,25_26,15,07/12/2025,1,"[{'goles_por_tiro': [9, 0.25]}, {'faltas_recibidas': [2, 36.0]}]"
Adrià Pedrosa,MC,3,elche,girona,0,20,0,0,0.0,0.0,0,0,0,12,100.0,0,0,0.0,0.0,0.0,3,3,2,0,0,1,0,1,0,0,0,0,9,55.0,16.0,0,0,0,0.0,25_26,15,07/12/2025,1,[]
Héctor Fort,MC,39,elche,girona,1,58,0,2,0.0,0.1,0,0,0,17,82.4,0,0,0.0,0.0,0.0,11,3,3,0,1,0,0,0,0,1,0,1,16,107.0,58.0,3,0,0,0.0,25_26,15,07/12/2025,1,[]
