player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Alexis Sánchez,CHI,36,DT,10,sevilla,oviedo,1,76,0,0,0.0,0.1,1,1,0,30,86.7,0,0,0.0,0.0,0.0,7,1,2,0,2,1,0,1,0,1,0,0,27,100.0,42.0,1,0,2,0.0,25_26,16,14/12/2025,1,"[{'penaltis_marcados': [9, 1.0]}]"
Chidera Ejuke,NGA,27,DT,21,sevilla,oviedo,0,14,1,0,0.1,0.0,1,0,1,6,100.0,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,11,6,4,11,119.0,66.0,2,0,0,0.0,25_26,16,14/12/2025,1,[]
Akor Adams,NGA,25,DT,9,sevilla,oviedo,1,90,1,1,1.0,0.6,6,3,3,15,46.7,0,0,0.0,0.0,0.0,15,0,0,0,0,1,0,1,1,1,0,1,19,100.0,59.0,4,0,4,0.0,25_26,16,14/12/2025,1,[]
Batista Mendy,FRA,25,MC,19,sevilla,oviedo,1,76,1,0,0.6,0.0,1,0,1,36,94.4,0,0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,1,1,0,28,117.0,48.0,1,0,0,0.0,25_26,16,14/12/2025,1,"[{'faltas_cometidas': [7, 27.0]}]"
Miguel Ángel Sierra,ESP,21,MC,29,sevilla,oviedo,0,14,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,2,0,0,0,5,23.0,11.0,0,0,0,0.0,25_26,16,14/12/2025,1,[]
Djibril Sow,SUI,28,MC,20,sevilla,oviedo,1,45,1,0,0.2,0.0,2,1,1,16,87.5,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,3,0,0,0,10,26.0,9.0,0,0,0,0.0,25_26,16,14/12/2025,1,"[{'goles_por_tiro': [9, 0.25]}]"
Manu Bueno,ESP,21,MC,28,sevilla,oviedo,0,45,0,0,0.0,0.2,0,0,0,36,91.7,0,0,0.0,0.0,0.0,4,0,0,0,0,2,0,2,1,0,0,0,27,164.0,97.0,1,1,0,100.0,25_26,16,14/12/2025,1,[]
Lucien Agoume,FRA,23,MC,18,sevilla,oviedo,1,85,0,1,0.0,0.7,1,1,0,31,80.6,1,0,0.0,0.0,0.0,11,2,0,0,0,0,0,0,0,0,0,0,19,98.0,42.0,0,2,1,66.7,25_26,16,14/12/2025,1,"[{'amarillas': [1, 8.0]}]"
Joan Jordán,ESP,31,MC,8,sevilla,oviedo,0,5,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,25.0,19.0,1,0,0,0.0,25_26,16,14/12/2025,1,"[{'penaltis_marcados': [10, 3.0]}]"
Joaquín Martínez Gauna,ESP,22,DF,36,sevilla,oviedo,1,90,0,1,0.0,0.2,1,0,1,51,70.6,0,0,0.0,0.0,0.0,11,1,3,0,2,1,0,1,1,1,0,1,37,211.0,137.0,4,0,1,0.0,25_26,16,14/12/2025,1,[]
