player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Iñaki Williams,DT,athletic,espanyol,1,78,0,0,0.1,0.1,3,2,1,23,56.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,1,0,1,22,102.0,47.0,2,0,0,0.0,25_26,17,1
Roberto Navarro,DT,athletic,espanyol,0,12,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,9,67.0,54.0,2,0,0,0.0,25_26,17,1
Nico Williams,DT,athletic,espanyol,1,56,0,0,0.0,0.3,1,0,1,26,80.8,1,0,0.0,0.0,0.0,2,2,1,0,0,1,0,1,0,5,0,4,30,199.0,116.0,5,0,0,0.0,25_26,17,1
Gorka Guruzeta,DT,athletic,espanyol,0,34,0,0,0.1,0.0,1,1,0,4,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,5,9.0,1.0,0,1,1,50.0,25_26,17,1
Álex Berenguer,DT,athletic,espanyol,1,90,1,0,0.6,0.1,4,1,3,61,70.5,0,0,0.0,0.0,0.0,10,1,0,0,0,0,0,0,0,3,2,1,49,272.0,159.0,8,1,0,100.0,25_26,17,1
Oihan Sancet,MC,athletic,espanyol,1,90,0,0,0.3,0.0,2,2,0,45,82.2,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,2,0,2,43,282.0,183.0,5,2,0,100.0,25_26,17,1
Mikel Jauregizar,MC,athletic,espanyol,1,90,0,0,0.1,0.0,1,1,0,64,73.4,0,0,0.0,0.0,0.0,2,3,1,0,0,2,1,1,1,1,0,0,57,219.0,110.0,0,0,3,0.0,25_26,17,1
Iñigo Ruiz de Galarreta,MC,athletic,espanyol,1,56,0,0,0.0,0.0,1,1,0,35,71.4,1,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,4,1,3,27,130.0,73.0,0,0,0,0.0,25_26,17,1
Alejandro Rego,MC,athletic,espanyol,0,34,0,0,0.0,0.0,2,1,1,25,76.0,1,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,19,38.0,24.0,0,2,0,100.0,25_26,17,1
Adama Boiro,DF,athletic,espanyol,1,75,0,0,0.0,0.0,0,0,0,47,85.1,0,0,0.0,0.0,0.0,2,1,4,0,3,1,0,1,3,3,0,3,39,214.0,106.0,1,0,3,0.0,25_26,17,1
Unai Gómez,DF,athletic,espanyol,0,15,0,0,0.2,0.0,1,1,0,13,92.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,2,1,0,0,11,38.0,19.0,0,0,1,0.0,25_26,17,1
Aitor Paredes,DF,athletic,espanyol,1,90,0,0,0.0,0.0,0,0,0,66,87.9,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,7,0,0,0,57,359.0,240.0,1,3,2,60.0,25_26,17,1
Iñigo Lekue,DF,athletic,espanyol,1,90,0,0,0.0,0.0,0,0,0,65,86.2,1,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,6,1,1,0,52,329.0,212.0,2,0,3,0.0,25_26,17,1
Andoni Gorosabel,DF,athletic,espanyol,1,75,0,0,0.2,0.0,1,0,1,50,84.0,1,0,0.0,0.0,0.0,-1,0,0,0,0,3,0,3,2,1,1,0,39,148.0,88.0,3,0,0,0.0,25_26,17,1
Jesús Areso,DF,athletic,espanyol,0,15,0,0,0.0,0.1,0,0,0,17,94.1,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,1,1,0,9,66.0,44.0,1,1,0,100.0,25_26,17,1
Unai Simón,PT,athletic,espanyol,1,90,0,0,0.0,0.0,0,0,0,31,93.5,0,0,2.0,60.0,1.4,4,1,1,0,0,0,0,0,0,0,0,0,20,100.0,38.0,0,0,0,0.0,25_26,17,1
Roberto Férnandez,DT,espanyol,athletic,1,90,0,0,0.1,0.0,3,3,0,18,55.6,0,0,0.0,0.0,0.0,4,2,3,0,1,2,0,2,3,1,0,1,13,71.0,49.0,2,3,1,75.0,25_26,17,0
Pere Milla,DT,espanyol,athletic,1,56,1,0,0.5,0.0,1,0,1,20,50.0,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,1,0,0,0,19,74.0,31.0,1,1,1,50.0,25_26,17,0
Jofre,MC,espanyol,athletic,0,34,0,0,0.1,0.0,1,1,0,6,50.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,1,2,0,1,5,33.0,10.0,1,0,0,0.0,25_26,17,0
Tyrhys Dolan,DT,espanyol,athletic,1,82,0,1,0.1,0.5,1,1,0,17,94.1,0,0,0.0,0.0,0.0,10,4,1,0,0,1,0,1,0,3,1,2,14,94.0,44.0,2,0,1,0.0,25_26,17,0
José Salinas,DF,espanyol,athletic,0,8,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,25_26,17,0
Edu Expósito,MC,espanyol,athletic,1,83,0,0,0.0,0.2,1,0,1,31,61.3,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,2,1,1,0,17,79.0,43.0,0,2,1,66.7,25_26,17,0
Rubén,MC,espanyol,athletic,0,7,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,0,0,0,1,16.0,0.0,0,0,1,0.0,25_26,17,0
Pol Lozano,MC,espanyol,athletic,1,71,0,0,0.0,0.0,0,0,0,23,82.6,0,0,0.0,0.0,0.0,2,1,2,0,1,2,0,2,0,0,0,0,10,26.0,13.0,0,0,0,0.0,25_26,17,0
Kiké,DT,espanyol,athletic,0,19,0,0,0.0,0.0,1,0,1,7,14.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,1,5,30.0,15.0,0,3,0,100.0,25_26,17,0
Urko González,MC,espanyol,athletic,1,90,0,0,0.0,0.0,0,0,0,24,70.8,1,0,0.0,0.0,0.0,2,5,4,0,0,2,0,2,2,1,0,1,10,27.0,13.0,0,0,0,0.0,25_26,17,0
