player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Ante Budimir,CRO,34,DT,17,osasuna,alaves,1,88,2,0,1.4,0.0,6,4,2,8,50.0,0,0,0.0,0.0,0.0,16,2,1,0,0,2,0,2,0,1,0,1,10,18.0,6.0,0,5,3,62.5,25_26,17,20/12/2025,1,"[{'goles': [9, 6.0]}, {'penaltis_marcados': [2, 3.0]}]"
Raúl,ESP,25,DT,9,osasuna,alaves,0,2,1,0,0.2,0.0,1,0,1,2,0.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,1,1,0,1,4.0,0.0,0,1,0,100.0,25_26,17,20/12/2025,1,"[{'apariciones_suplente': [5, 11.0]}]"
Víctor Muñoz,ESP,22,DT,21,osasuna,alaves,1,90,0,0,0.0,0.0,1,1,0,22,36.4,0,0,0.0,0.0,0.0,3,3,2,0,1,0,0,0,1,2,1,1,26,190.0,90.0,3,1,2,33.3,25_26,17,20/12/2025,1,"[{'regates_exitosos': [5, 33.0]}]"
Rubén García,ESP,32,DT,14,osasuna,alaves,1,68,0,0,0.1,0.3,1,0,1,45,68.9,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,0,2,0,1,27,90.0,53.0,2,1,0,100.0,25_26,17,20/12/2025,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Kike Barja,ESP,28,DT,11,osasuna,alaves,0,22,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0,0,0,0.0,25_26,17,20/12/2025,1,"[{'apariciones_suplente': [5, 11.0]}]"
Aimar Oroz,ESP,24,MC,10,osasuna,alaves,1,88,0,1,0.1,0.1,2,1,1,26,84.6,0,0,0.0,0.0,0.0,12,3,1,0,1,1,0,1,0,3,2,1,24,188.0,100.0,4,1,0,100.0,25_26,17,20/12/2025,1,"[{'faltas_recibidas': [5, 64.0]}]"
Asier Osambela,ESP,21,DF,29,osasuna,alaves,0,2,0,0,0.0,0.0,0,0,0,4,25.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.0,0,1,0,100.0,25_26,17,20/12/2025,1,[]
Lucas Torró,ESP,31,MC,6,osasuna,alaves,1,90,0,0,0.1,0.0,2,1,1,38,65.8,0,0,0.0,0.0,0.0,5,2,2,0,0,0,0,0,0,1,1,0,21,47.0,18.0,0,5,2,71.4,25_26,17,20/12/2025,1,"[{'faltas_cometidas': [1, 75.0]}]"
Jon Moncayola,ESP,27,MC,7,osasuna,alaves,1,90,0,0,0.0,0.1,0,0,0,60,76.7,0,0,0.0,0.0,0.0,7,1,1,0,1,1,0,1,0,1,0,1,38,133.0,51.0,0,0,0,0.0,25_26,17,20/12/2025,1,"[{'rojas': [10, 1.0]}]"
Abel Bretones,ESP,25,DF,23,osasuna,alaves,1,85,0,0,0.1,0.0,2,2,0,43,67.4,1,0,0.0,0.0,0.0,6,2,2,0,0,3,0,3,4,0,0,0,27,106.0,72.0,1,3,1,75.0,25_26,17,20/12/2025,1,"[{'rojas': [2, 1.0]}]"
