player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Cucho,DT,betis,getafe,1,90,1,1,1.0,0.7,3,2,1,18,61.1,0,0,0.0,0.0,0.0,16,0,1,0,1,0,0,0,0,0,0,0,13,49.0,20.0,0,2,4,33.3,25_26,17,21/12/2025,1,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [9, 1.0]}]"
Aitor Ruibal,DT,betis,getafe,1,74,2,0,0.6,0.0,4,1,3,19,89.5,0,0,0.0,0.0,0.0,17,1,0,0,0,1,0,1,1,1,0,1,19,82.0,28.0,1,0,1,0.0,25_26,17,21/12/2025,1,[]
Rodrigo Riquelme,DT,betis,getafe,0,16,0,0,0.0,0.0,1,1,0,6,66.7,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,1,1,0,1,4,16.0,15.0,1,0,0,0.0,25_26,17,21/12/2025,1,[]
Antony,DT,betis,getafe,1,65,0,1,0.4,0.5,4,2,2,39,82.1,0,0,0.0,0.0,0.0,13,4,2,0,0,1,0,1,2,2,0,2,34,242.0,131.0,6,0,0,0.0,25_26,17,21/12/2025,1,"[{'tiros_puerta': [9, 16.0]}, {'rojas': [2, 1.0]}]"
Giovani Lo Celso,DT,betis,getafe,0,25,0,0,0.1,0.0,1,1,0,10,70.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,2,1,1,8,34.0,21.0,0,0,1,0.0,25_26,17,21/12/2025,1,"[{'faltas_recibidas': [3, 35.0]}]"
Pablo Fornals,MC,betis,getafe,1,85,1,0,0.5,0.2,3,1,2,48,79.2,0,0,0.0,0.0,0.0,16,1,0,0,0,1,0,1,1,1,0,1,31,118.0,77.0,2,1,3,25.0,25_26,17,21/12/2025,1,"[{'asistencias': [8, 4.0]}, {'pases_clave': [4, 36.0]}, {'pases_ultimo_tercio': [9, 98.0]}, {'corners': [8, 40.0]}]"
Ezequiel Ávila,DT,betis,getafe,0,5,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0,0,1,0.0,25_26,17,21/12/2025,1,"[{'rojas': [8, 1.0]}]"
Marc Roca,MC,betis,getafe,1,90,0,1,0.7,0.5,3,3,0,40,72.5,0,0,0.0,0.0,0.0,14,5,1,0,0,1,0,1,3,0,0,0,30,87.0,37.0,0,2,0,100.0,25_26,17,21/12/2025,1,[]
Nelson Deossa,MC,betis,getafe,1,90,0,0,0.0,0.1,0,0,0,39,82.1,0,0,0.0,0.0,0.0,12,4,1,0,0,3,0,3,3,6,4,0,29,233.0,161.0,4,8,2,80.0,25_26,17,21/12/2025,1,[]
Ricardo Rodríguez,DF,betis,getafe,1,90,0,0,0.0,0.0,0,0,0,31,80.6,0,0,0.0,0.0,0.0,8,1,2,0,2,1,1,0,5,1,1,0,20,100.0,57.0,3,0,1,0.0,25_26,17,21/12/2025,1,[]
Natan,DF,betis,getafe,1,66,0,0,0.0,0.0,0,0,0,29,89.7,0,0,0.0,0.0,0.0,10,1,0,0,0,1,1,0,11,0,0,0,22,75.0,28.0,0,2,2,50.0,25_26,17,21/12/2025,1,"[{'despejes': [1, 141.0]}]"
Valentín Gómez,DF,betis,getafe,0,24,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,3,0,0,0,0,2,2,0,3,0,0,0,5,16.0,3.0,0,1,1,50.0,25_26,17,21/12/2025,1,[]
Marc Bartra,DF,betis,getafe,1,90,0,0,0.0,0.0,0,0,0,46,84.8,0,0,0.0,0.0,0.0,10,1,0,0,0,1,1,0,10,0,0,0,30,130.0,86.0,0,3,0,100.0,25_26,17,21/12/2025,1,[]
Ángel Ortíz,DF,betis,getafe,1,85,0,0,0.0,0.4,0,0,0,47,78.7,0,0,0.0,0.0,0.0,8,1,2,0,1,1,0,1,3,5,1,3,31,173.0,114.0,1,0,1,0.0,25_26,17,21/12/2025,1,[]
Héctor Bellerín,DF,betis,getafe,0,5,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,5,6.0,4.0,0,0,0,0.0,25_26,17,21/12/2025,1,"[{'rojas': [10, 1.0]}]"
Álvaro Vallés,PT,betis,getafe,1,90,0,0,0.0,0.0,0,0,0,29,82.8,0,0,0.0,100.0,0.2,11,0,0,0,0,0,0,0,1,0,0,0,18,75.0,70.0,0,1,0,100.0,25_26,17,21/12/2025,1,"[{'porterias_cero': [10, 4.0]}]"
Borja Mayoral,DT,getafe,betis,1,90,0,0,1.0,0.0,2,1,1,22,81.8,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,2,0,14,49.0,19.0,1,0,4,0.0,25_26,17,21/12/2025,0,"[{'goles_por_tiro': [4, 0.31]}]"
Adrián Liso,DT,getafe,betis,1,57,0,0,0.0,0.0,1,1,0,10,60.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,0,1,12,52.0,11.0,0,1,2,33.3,25_26,17,21/12/2025,0,[]
Álex Sancris,DT,getafe,betis,0,33,0,0,0.0,0.1,1,1,0,23,56.5,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,0,1,1,0,18,144.0,88.0,2,0,0,0.0,25_26,17,21/12/2025,0,"[{'rojas': [2, 1.0]}]"
Mauro Arambarri,MC,getafe,betis,1,90,0,0,0.1,0.1,2,2,0,35,85.7,0,0,0.0,0.0,0.0,1,1,4,0,3,0,0,0,0,1,1,0,29,166.0,89.0,3,2,4,33.3,25_26,17,21/12/2025,0,"[{'faltas_recibidas': [3, 35.0]}]"
Luis Milla,MC,getafe,betis,1,90,0,0,0.0,0.0,1,1,0,58,74.1,0,0,0.0,0.0,0.0,1,2,3,0,1,0,0,0,0,1,0,1,38,106.0,42.0,0,4,2,66.7,25_26,17,21/12/2025,0,"[{'asistencias': [2, 6.0]}, {'pases_clave': [8, 32.0]}, {'corners': [3, 59.0]}, {'rojas': [2, 1.0]}]"
Mario Martín,MC,getafe,betis,1,57,0,0,0.0,0.0,1,0,1,26,76.9,0,0,0.0,0.0,0.0,-1,1,1,0,1,2,0,2,1,1,0,1,22,106.0,34.0,1,2,4,33.3,25_26,17,21/12/2025,0,"[{'amarillas': [4, 6.0]}, {'faltas_cometidas': [2, 34.0]}]"
Javier Muñoz,MC,getafe,betis,0,33,0,0,0.0,0.0,2,1,1,23,73.9,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,1,1,1,0,19,70.0,24.0,2,0,1,0.0,25_26,17,21/12/2025,0,[]
Allan Nyom,DF,getafe,betis,1,57,0,0,0.0,0.0,0,0,0,25,80.0,1,0,0.0,0.0,0.0,-3,3,2,0,1,0,0,0,1,1,0,1,11,55.0,35.0,2,0,1,0.0,25_26,17,21/12/2025,0,"[{'rojas': [2, 1.0]}]"
Diego Rico,DF,getafe,betis,0,33,0,0,0.0,0.1,1,1,0,17,82.4,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,3,0,0,0,9,33.0,24.0,2,0,0,0.0,25_26,17,21/12/2025,0,"[{'intercepciones': [6, 23.0]}]"
Djené,DF,getafe,betis,1,90,0,0,0.1,0.0,2,2,0,49,75.5,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,5,0,0,0,28,145.0,88.0,1,3,0,100.0,25_26,17,21/12/2025,0,"[{'amarillas': [2, 14.0]}, {'rojas': [10, 1.0]}]"
Domingos Duarte,DF,getafe,betis,1,90,0,0,0.0,0.0,0,0,0,36,80.6,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,5,0,0,0,27,114.0,47.0,0,2,0,100.0,25_26,17,21/12/2025,0,"[{'despejes': [2, 107.0]}]"
Iglesias,DF,getafe,betis,1,90,0,0,0.0,0.0,0,0,0,53,77.4,0,0,0.0,0.0,0.0,-3,1,1,0,0,1,1,0,2,3,1,1,32,120.0,60.0,0,1,1,50.0,25_26,17,21/12/2025,0,"[{'entradas': [4, 45.0]}, {'faltas_cometidas': [7, 27.0]}, {'faltas_recibidas': [8, 33.0]}]"
Kiko Femenía,DF,getafe,betis,1,57,0,0,0.0,0.0,0,0,0,26,73.1,0,0,0.0,0.0,0.0,-2,1,1,0,0,0,0,0,1,0,0,0,17,55.0,29.0,1,0,0,0.0,25_26,17,21/12/2025,0,"[{'rojas': [10, 1.0]}]"
Juanmi,DF,getafe,betis,0,33,0,0,0.1,0.1,1,1,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,16.0,0.0,0,2,1,66.7,25_26,17,21/12/2025,0,[]
David Soria,PT,getafe,betis,1,90,0,0,0.0,0.0,0,0,0,39,66.7,0,0,4.0,50.0,3.6,2,0,0,0,0,0,0,0,0,0,0,0,23,95.0,64.0,0,0,0,0.0,25_26,17,21/12/2025,0,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [10, 4.0]}, {'paradas': [4, 56.0]}]"
