player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Robert Lewandowski,DT,barcelona,atletico madrid,1,66,0,0,1.2,0.0,3,2,1,16,62.5,0,0,0.0,0.0,0.0,6767,0,1,0,1,3,0,3,0,1,1,0,11,42.0,7.0,0,0,1,0.0,25_26,19,1
Ferrán Torres,DT,barcelona,atletico madrid,0,24,1,0,0.4,0.0,1,0,1,6,66.7,0,0,0.0,0.0,0.0,6767,0,0,0,0,0,0,0,0,0,0,0,5,4.0,4.0,0,1,1,50.0,25_26,19,1
Raphinha,DT,barcelona,atletico madrid,1,73,1,0,1.1,0.1,4,3,1,27,70.4,0,0,0.0,0.0,0.0,6767,1,1,0,0,1,0,1,1,2,2,0,20,133.0,78.0,4,0,0,0.0,25_26,19,1
Pedro Fernandez,DT,barcelona,atletico madrid,0,17,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,6767,0,0,0,0,0,0,0,0,1,0,0,2,10.0,0.0,0,1,0,100.0,25_26,19,1
Lamine Yamal,DT,barcelona,atletico madrid,1,87,0,0,0.1,0.6,3,3,0,58,67.2,0,0,0.0,0.0,0.0,6767,1,1,0,0,0,0,0,0,16,9,7,40,349.0,195.0,8,0,1,0.0,25_26,19,1
Andreas Christensen,MC,barcelona,atletico madrid,0,3,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6767,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,25_26,19,1
Dani Olmo,MC,barcelona,atletico madrid,1,65,1,0,0.5,0.1,2,1,1,36,80.6,0,0,0.0,0.0,0.0,6767,1,1,0,0,1,0,1,1,2,0,1,20,94.0,57.0,4,0,1,0.0,25_26,19,1
Marcus Rashford,MC,barcelona,atletico madrid,0,25,0,0,0.1,0.0,2,1,1,10,60.0,0,0,0.0,0.0,0.0,6767,1,1,0,0,0,0,0,2,0,0,0,5,44.0,17.0,1,0,0,0.0,25_26,19,1
Pedri,MC,barcelona,atletico madrid,1,73,0,1,0.0,0.8,0,0,0,64,93.8,0,0,0.0,0.0,0.0,6767,3,3,0,1,0,0,0,0,3,3,0,42,299.0,132.0,4,0,0,0.0,25_26,19,1
Marc Casado,MC,barcelona,atletico madrid,0,17,0,0,0.0,0.0,0,0,0,8,100.0,0,0,0.0,0.0,0.0,6767,1,0,0,0,1,0,1,0,0,0,0,5,12.0,6.0,0,0,0,0.0,25_26,19,1
