player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Akor Adams,DT,sevilla,getafe,1,90,0,0,0.2,0.0,3,2,1,13,53.8,0,0,0.0,0.0,0.0,2,1,0,0,0,2,0,2,1,0,0,0,12,66.0,34.0,3,1,2,33.3,25_26,2,1
Chidera Ejuke,DT,sevilla,getafe,1,66,0,0,0.0,0.0,1,1,0,30,86.7,0,0,0.0,0.0,0.0,6,2,1,0,0,1,0,1,0,4,2,2,30,182.0,68.0,1,0,0,0.0,25_26,2,1
Isaac Romero,DT,sevilla,getafe,0,24,0,0,0.1,0.0,2,2,0,10,60.0,0,0,0.0,0.0,0.0,2,1,0,0,0,2,0,2,0,0,0,0,9,27.0,5.0,0,0,2,0.0,25_26,2,1
Dodi Lukebakio,DT,sevilla,getafe,1,90,0,0,0.0,0.3,0,0,0,44,84.1,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,0,3,1,2,43,197.0,51.0,1,0,0,0.0,25_26,2,1
Ruben Vargas,MC,sevilla,getafe,1,56,0,0,0.0,0.0,0,0,0,20,60.0,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,1,0,0,14,65.0,32.0,1,1,0,100.0,25_26,2,1
Peque,MC,sevilla,getafe,0,34,0,0,0.0,0.0,1,1,0,17,70.6,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,3,1,2,14,125.0,84.0,4,0,0,0.0,25_26,2,1
Lucien Agoume,MC,sevilla,getafe,1,90,0,0,0.0,0.1,0,0,0,52,78.8,0,0,0.0,0.0,0.0,3,5,4,0,1,0,0,0,2,2,0,2,40,218.0,135.0,2,5,1,83.3,25_26,2,1
Nemanja Gudelj,MC,sevilla,getafe,1,90,0,0,0.1,0.0,1,0,1,69,89.9,0,0,0.0,0.0,0.0,3,1,2,0,1,1,0,1,1,0,0,0,54,214.0,105.0,1,0,0,0.0,25_26,2,1
Carmona,DF,sevilla,getafe,1,90,0,0,0.0,0.0,0,0,0,56,89.3,1,0,0.0,0.0,0.0,-1,2,3,0,2,2,0,2,2,2,0,1,42,221.0,145.0,2,4,2,66.7,25_26,2,1
Kike Salas,DF,sevilla,getafe,1,90,0,0,0.0,0.0,0,0,0,103,78.6,0,0,0.0,0.0,0.0,4,4,2,0,0,1,1,0,8,1,0,1,83,379.0,251.0,0,6,2,75.0,25_26,2,1
