player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Cucho,DT,betis,alaves,1,84,0,0,0.3,0.0,4,4,0,21,76.2,1,0,0.0,0.0,0.0,2,2,1,0,0,1,0,1,2,4,2,1,24,108.0,49.0,1,0,3,0.0,25_26,2,1
Cédric Bakambu,DT,betis,alaves,0,6,0,0,0.1,0.0,1,1,0,4,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,0,2,4,19.0,2.0,0,0,3,0.0,25_26,2,1
Rodrigo Riquelme,DT,betis,alaves,1,57,0,0,0.0,0.0,1,1,0,20,90.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,3,1,2,19,114.0,68.0,3,0,2,0.0,25_26,2,1
Pablo Garcia,DT,betis,alaves,0,33,0,0,0.3,0.0,2,1,1,9,66.7,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,2,2,0,10,139.0,80.0,3,0,0,0.0,25_26,2,1
Aitor Ruibal,DT,betis,alaves,1,90,0,0,0.5,0.2,3,2,1,26,80.8,0,0,0.0,0.0,0.0,6,0,1,0,1,2,1,1,2,3,1,2,26,57.0,23.0,1,0,3,0.0,25_26,2,1
Giovani Lo Celso,MC,betis,alaves,1,85,1,0,0.6,0.2,2,0,2,58,84.5,1,0,0.0,0.0,0.0,13,0,0,0,0,1,0,1,0,3,1,0,37,136.0,64.0,1,1,0,100.0,25_26,2,1
Valentín Gómez,MC,betis,alaves,0,5,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,25_26,2,1
Pablo Fornals,MC,betis,alaves,1,90,0,0,0.0,0.3,1,1,0,52,86.5,0,0,0.0,0.0,0.0,7,1,1,0,0,0,0,0,1,1,0,1,35,128.0,60.0,0,2,0,100.0,25_26,2,1
Sergi Altimira,MC,betis,alaves,1,90,0,0,0.0,0.1,0,0,0,56,91.1,0,0,0.0,0.0,0.0,9,4,4,0,2,1,0,1,1,1,1,0,34,211.0,113.0,2,2,2,50.0,25_26,2,1
Junior Firpo,DF,betis,alaves,1,70,0,0,0.1,0.0,1,1,0,50,86.0,0,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,8,0,0,0,33,98.0,66.0,2,4,1,80.0,25_26,2,1
Ricardo Rodríguez,DF,betis,alaves,0,20,0,0,0.0,0.0,0,0,0,11,81.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,3,0,0,0,3,11.0,7.0,0,1,0,100.0,25_26,2,1
Natan,DF,betis,alaves,1,90,0,0,0.0,0.0,0,0,0,49,83.7,0,0,0.0,0.0,0.0,9,1,1,0,1,0,0,0,9,0,0,0,37,172.0,62.0,0,3,5,37.5,25_26,2,1
Marc Bartra,DF,betis,alaves,1,90,0,0,0.0,0.0,0,0,0,51,86.3,0,0,0.0,0.0,0.0,10,2,3,0,2,1,0,1,4,0,0,0,37,184.0,111.0,1,3,2,60.0,25_26,2,1
Héctor Bellerín,DF,betis,alaves,1,90,0,0,0.1,0.4,1,0,1,61,85.2,0,0,0.0,0.0,0.0,10,0,2,0,2,0,0,0,3,0,0,0,40,243.0,124.0,2,2,1,66.7,25_26,2,1
Pau López,PT,betis,alaves,1,90,0,0,0.0,0.0,0,0,0,37,81.1,0,0,0.0,100.0,0.3,12,0,0,0,0,0,0,0,0,0,0,0,25,65.0,33.0,0,0,0,0.0,25_26,2,1
Toni Martínez,DT,alaves,betis,1,57,0,0,0.0,0.0,0,0,0,13,46.2,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,2,3.0,0.0,0,7,7,50.0,25_26,2,0
Mariano,DT,alaves,betis,0,33,0,0,0.0,0.0,1,1,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,3.0,1.0,0,4,0,100.0,25_26,2,0
Jon Guridi,DT,alaves,betis,1,57,0,0,0.7,0.0,2,0,2,22,59.1,0,0,0.0,0.0,0.0,4,0,2,0,2,2,0,2,0,4,4,0,21,127.0,62.0,2,1,1,50.0,25_26,2,0
Abde Rebbach,MC,alaves,betis,0,33,0,0,0.0,0.0,1,0,1,17,76.5,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,0,3,1,1,12,82.0,43.0,2,0,1,0.0,25_26,2,0
Carles Aleñá,MC,alaves,betis,1,90,0,0,0.0,0.2,1,1,0,46,84.8,0,0,0.0,0.0,0.0,5,1,0,0,0,2,1,1,1,1,0,1,31,129.0,50.0,1,0,1,0.0,25_26,2,0
Antonio Blanco,MC,alaves,betis,1,88,0,0,0.0,0.0,0,0,0,66,86.4,1,0,0.0,0.0,0.0,3,2,2,0,2,0,0,0,1,0,0,0,33,166.0,85.0,2,1,0,100.0,25_26,2,0
Lander Pinillos,MC,alaves,betis,0,2,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,8.0,2.0,0,0,1,0.0,25_26,2,0
Pablo Ibáñez,MC,alaves,betis,1,57,0,0,0.0,0.0,1,1,0,40,82.5,1,0,0.0,0.0,0.0,1,3,3,0,1,0,0,0,1,0,0,0,27,134.0,39.0,1,1,0,100.0,25_26,2,0
Ander Guevara,MC,alaves,betis,0,33,0,0,0.0,0.0,0,0,0,25,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,13,68.0,31.0,0,1,1,50.0,25_26,2,0
Carlos Vicente,MC,alaves,betis,1,90,0,0,0.0,0.6,0,0,0,53,75.5,0,0,0.0,0.0,0.0,4,2,0,0,0,2,1,1,3,2,0,1,29,141.0,53.0,2,1,2,33.3,25_26,2,0
Victor Parada,DF,alaves,betis,1,76,0,0,0.2,0.0,1,1,0,28,71.4,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,5,0,0,0,16,148.0,77.0,2,1,0,100.0,25_26,2,0
Calebe,MC,alaves,betis,0,14,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,9,60.0,34.0,1,0,0,0.0,25_26,2,0
Nahuel Tenaglia,DF,alaves,betis,1,90,0,0,0.0,0.0,1,1,0,46,89.1,0,0,0.0,0.0,0.0,5,1,1,0,0,1,0,1,5,1,1,0,31,197.0,138.0,0,2,1,66.7,25_26,2,0
Facundo Garcés,DF,alaves,betis,1,90,0,0,0.1,0.0,2,0,2,48,91.7,1,0,0.0,0.0,0.0,7,4,2,0,1,1,1,0,6,0,0,0,25,77.0,34.0,0,2,3,40.0,25_26,2,0
Jonny Castro,DF,alaves,betis,1,90,0,0,0.1,0.0,1,1,0,75,88.0,0,0,0.0,0.0,0.0,5,6,4,0,2,1,1,0,2,1,1,0,35,130.0,55.0,1,0,0,0.0,25_26,2,0
Antonio Sivera,PT,alaves,betis,1,90,0,0,0.0,0.0,0,0,0,27,55.6,0,0,1.0,80.0,1.4,7,0,0,0,0,0,0,0,1,0,0,0,14,121.0,116.0,0,1,0,100.0,25_26,2,0
