player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Julián Álvarez,ARG,25,DT,19,atletico madrid,elche,1,90,0,0,0.0,0.1,0,0,0,31,71.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,4,0,4,21,97.0,33.0,1,0,2,0.0,25_26,2,23/08/2025,1,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [6, 2.0]}, {'tiros_puerta': [9, 16.0]}, {'pases_clave': [4, 36.0]}, {'corners': [6, 51.0]}]"
Alexander Sørloth,NOR,29,DT,9,atletico madrid,elche,1,67,1,0,0.7,0.1,3,1,2,19,63.2,0,0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,4,3,1,10,65.0,31.0,4,4,1,80.0,25_26,2,23/08/2025,1,"[{'rojas': [2, 1.0]}]"
Giacomo Raspadori,ITA,25,DT,22,atletico madrid,elche,0,23,0,0,0.1,0.0,2,1,1,12,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,18.0,1.0,0,0,0,0.0,25_26,2,23/08/2025,1,"[{'apariciones_suplente': [9, 10.0]}]"
Thiago Almada,ARG,24,MC,11,atletico madrid,elche,1,67,0,0,0.0,0.5,0,0,0,47,74.5,0,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,0,2,1,1,34,220.0,106.0,2,0,2,0.0,25_26,2,23/08/2025,1,[]
Conor Gallagher,ENG,25,MC,4,atletico madrid,elche,0,23,0,0,0.0,0.0,1,1,0,19,73.7,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,1,0,1,15,54.0,20.0,2,0,0,0.0,25_26,2,23/08/2025,1,"[{'apariciones_suplente': [1, 14.0]}]"
Pablo Barrios,ESP,22,MC,8,atletico madrid,elche,1,90,0,0,0.1,0.0,2,2,0,76,82.9,0,0,0.0,0.0,0.0,5,3,1,0,0,1,0,1,0,3,0,2,55,332.0,167.0,6,3,1,75.0,25_26,2,23/08/2025,1,"[{'regates_exitosos': [10, 29.0]}]"
Johnny Cardoso,USA,23,MC,5,atletico madrid,elche,1,67,0,0,0.0,0.0,0,0,0,40,85.0,0,0,0.0,0.0,0.0,6,3,4,0,1,0,0,0,3,1,1,0,30,186.0,103.0,2,0,1,0.0,25_26,2,23/08/2025,1,"[{'intercepciones': [6, 48.0]}]"
Antoine Griezmann,FRA,34,MC,7,atletico madrid,elche,0,23,0,0,0.1,0.0,2,0,2,17,88.2,0,0,0.0,0.0,0.0,4,0,0,0,0,2,0,2,0,0,0,0,10,64.0,43.0,1,0,0,0.0,25_26,2,23/08/2025,1,"[{'goles': [9, 6.0]}, {'goles_90': [5, 0.8]}, {'apariciones_suplente': [3, 13.0]}]"
Giuliano Simeone,ARG,22,MC,20,atletico madrid,elche,1,74,0,0,0.1,0.1,1,1,0,31,80.6,0,0,0.0,0.0,0.0,4,1,1,0,1,1,0,1,0,1,0,1,28,206.0,90.0,5,0,0,0.0,25_26,2,23/08/2025,1,"[{'asistencias': [8, 4.0]}]"
Nahuel Molina,ARG,27,DF,16,atletico madrid,elche,0,16,0,0,0.0,0.1,0,0,0,24,83.3,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,0,2,0,2,10,54.0,29.0,1,0,0,0.0,25_26,2,23/08/2025,1,"[{'rojas': [10, 1.0]}]"
