player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Federico Viñas,DT,9,oviedo,real sociedad,1,60,0,0,0.0,0.1,0,0,0,9,77.8,0,0,0.0,0.0,0.0,6,2,2,0,0,1,1,0,0,3,1,2,9,40.0,15.0,0,0,5,0.0,25_26,3,30/08/2025,1,"[{'penaltis_marcados': [9, 1.0]}, {'rojas': [1, 2.0]}]"
Salomón Rondón,DT,23,oviedo,real sociedad,0,30,0,0,0.1,0.1,2,2,0,7,14.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,0,1,8,25.0,7.0,1,6,2,75.0,25_26,3,30/08/2025,1,[]
Ilyas Chaira,DT,7,oviedo,real sociedad,1,30,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,0,1,4,48.0,23.0,1,0,0,0.0,25_26,3,30/08/2025,1,"[{'rojas': [2, 1.0]}]"
Haissem Hassan,DT,10,oviedo,real sociedad,0,60,0,1,0.1,0.3,2,2,0,23,73.9,1,0,0.0,0.0,0.0,8,3,2,0,0,0,0,0,1,6,3,1,21,332.0,190.0,6,0,0,0.0,25_26,3,30/08/2025,1,"[{'centros_area': [2, 12.0]}, {'regates_exitosos': [5, 33.0]}]"
Luka Ilić,DT,21,oviedo,real sociedad,1,72,0,0,0.0,0.0,1,1,0,19,78.9,0,0,0.0,0.0,0.0,5,1,3,0,2,4,0,4,3,1,0,1,16,27.0,7.0,0,0,2,0.0,25_26,3,30/08/2025,1,"[{'rojas': [2, 1.0]}]"
Josip Brekalo,DT,18,oviedo,real sociedad,0,18,0,0,0.1,0.0,1,1,0,10,90.0,1,0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,0,1,0,1,11,58.0,29.0,1,0,1,0.0,25_26,3,30/08/2025,1,[]
Ovie Ejaria,MC,14,oviedo,real sociedad,1,60,0,0,0.0,0.0,1,1,0,18,77.8,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,1,1,0,1,16,63.0,21.0,0,3,2,60.0,25_26,3,30/08/2025,1,[]
Santi Cazorla,MC,8,oviedo,real sociedad,0,30,0,0,0.0,0.0,0,0,0,17,82.4,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,0,0,0,14,52.0,24.0,0,0,0,0.0,25_26,3,30/08/2025,1,"[{'rojas': [2, 1.0]}]"
Alberto Reina,MC,5,oviedo,real sociedad,1,72,0,0,0.0,0.0,0,0,0,62,83.9,0,0,0.0,0.0,0.0,7,1,2,0,1,0,0,0,3,0,0,0,45,251.0,114.0,0,0,2,0.0,25_26,3,30/08/2025,1,"[{'rojas': [2, 1.0]}]"
Kwasi Sibo,MC,6,oviedo,real sociedad,0,18,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,1,0,1,8,28.0,5.0,0,0,0,0.0,25_26,3,30/08/2025,1,[]
Leander Dendoncker,MC,20,oviedo,real sociedad,1,90,1,0,0.2,0.0,1,0,1,33,78.8,0,0,0.0,0.0,0.0,15,2,6,0,5,2,2,0,4,0,0,0,19,91.0,21.0,0,2,1,66.7,25_26,3,30/08/2025,1,[]
Rahim Bonkano,DF,3,oviedo,real sociedad,1,90,0,0,0.0,0.0,0,0,0,54,79.6,0,0,0.0,0.0,0.0,9,1,1,0,0,2,0,2,5,1,1,0,41,149.0,45.0,1,2,0,100.0,25_26,3,30/08/2025,1,[]
