player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Gorka Guruzeta,DT,athletic,alaves,1,58,0,0,0.6,0.0,3,3,0,14,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,1,0,1,7,24.0,8.0,0,1,4,20.0,25_26,4,13/09/2025,1,"[{'goles_90': [9, 0.57]}]"
Maroan Sannadi,DT,athletic,alaves,0,32,0,0,0.0,0.0,0,0,0,3,33.3,1,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,4,17.0,1.0,0,0,2,0.0,25_26,4,13/09/2025,1,[]
Iñaki Williams,DT,athletic,alaves,1,79,0,0,0.2,0.0,3,2,1,31,54.8,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,3,0,3,25,87.0,44.0,0,1,0,100.0,25_26,4,13/09/2025,1,"[{'penaltis_marcados': [9, 1.0]}]"
Urko Izeta,MC,athletic,alaves,0,11,0,0,0.0,0.0,0,0,0,6,33.3,1,0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,4,29.0,15.0,1,0,1,0.0,25_26,4,13/09/2025,1,[]
Álex Berenguer,DT,athletic,alaves,1,79,0,0,0.1,0.3,1,0,1,51,66.7,0,0,0.0,0.0,0.0,6,3,1,0,0,2,0,2,1,3,3,0,26,193.0,106.0,3,0,2,0.0,25_26,4,13/09/2025,1,"[{'pases_clave': [10, 28.0]}, {'centros_area': [4, 10.0]}, {'corners': [1, 65.0]}]"
Nicolás Serrano,DT,athletic,alaves,0,11,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,3,0,2,6,33.0,6.0,0,0,1,0.0,25_26,4,13/09/2025,1,[]
Oihan Sancet,MC,athletic,alaves,1,67,0,0,0.1,0.0,1,1,0,23,73.9,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,18,115.0,44.0,2,0,0,0.0,25_26,4,13/09/2025,1,"[{'penaltis_marcados': [9, 1.0]}, {'rojas': [2, 1.0]}]"
Roberto Navarro,DT,athletic,alaves,0,23,0,0,0.0,0.0,0,0,0,12,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,2,0,1,7,49.0,34.0,2,1,3,25.0,25_26,4,13/09/2025,1,"[{'goles_por_tiro': [3, 0.33]}]"
Iñigo Ruiz de Galarreta,MC,athletic,alaves,1,58,0,0,0.0,0.0,0,0,0,33,72.7,1,0,0.0,0.0,0.0,5,4,2,0,0,1,0,1,1,3,3,0,20,74.0,33.0,0,3,0,100.0,25_26,4,13/09/2025,1,"[{'amarillas': [1, 8.0]}, {'faltas_cometidas': [5, 29.0]}]"
Mikel Vesga,MC,athletic,alaves,0,32,0,0,0.0,0.1,0,0,0,21,66.7,0,0,0.0,0.0,0.0,2,1,2,0,2,0,0,0,0,0,0,0,9,46.0,18.0,1,0,1,0.0,25_26,4,13/09/2025,1,"[{'apariciones_suplente': [5, 11.0]}]"
