player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Ferran Jutglà,DT,celta,girona,1,58,0,0,0.7,0.0,6,3,3,16,75.0,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,0,0,0,15,52.0,33.0,3,1,2,33.3,25_26,4,1
Borja Iglesias,DT,celta,girona,0,32,1,0,0.8,0.0,1,1,0,12,66.7,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,1,1,0,7,12.0,1.0,0,2,0,100.0,25_26,4,1
Pablo Durán,DT,celta,girona,1,59,0,0,0.0,0.0,1,1,0,22,77.3,0,0,0.0,0.0,0.0,3,1,1,0,1,0,0,0,0,0,0,0,14,37.0,21.0,0,0,0,0.0,25_26,4,1
Bryan Zaragoza,DT,celta,girona,0,31,0,0,0.0,0.0,0,0,0,11,81.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,2,1,1,8,89.0,60.0,2,0,0,0.0,25_26,4,1
Iago Aspas,DT,celta,girona,1,69,0,0,0.2,0.6,2,2,0,70,82.9,0,0,0.0,0.0,0.0,5,3,3,0,2,0,0,0,0,2,1,1,36,117.0,65.0,1,1,0,100.0,25_26,4,1
Hugo Álvarez,DT,celta,girona,0,21,0,0,0.0,0.0,0,0,0,18,72.2,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,0,1,0,1,9,53.0,23.0,0,0,1,0.0,25_26,4,1
Óscar Mingueza,MC,celta,girona,1,90,0,0,0.4,0.1,4,3,1,66,84.8,0,0,0.0,0.0,0.0,3,1,3,0,3,1,0,1,0,1,0,1,40,222.0,136.0,3,0,1,0.0,25_26,4,1
Ilaix Moriba,MC,celta,girona,1,90,0,0,0.1,0.1,3,3,0,64,87.5,0,0,0.0,0.0,0.0,5,3,2,0,0,1,0,1,2,1,0,1,38,161.0,55.0,0,1,1,50.0,25_26,4,1
Hugo Sotelo,MC,celta,girona,1,90,0,0,0.1,0.3,1,0,1,92,88.0,0,0,0.0,0.0,0.0,7,0,0,0,0,1,1,0,1,0,0,0,51,371.0,193.0,4,0,0,0.0,25_26,4,1
Sergio Carreira,MC,celta,girona,1,90,0,0,0.0,0.3,0,0,0,65,81.5,0,0,0.0,0.0,0.0,3,0,0,0,0,3,0,3,0,1,1,0,38,211.0,142.0,6,0,0,0.0,25_26,4,1
Manu Fernández,DF,celta,girona,1,79,0,0,0.0,0.0,0,0,0,73,94.5,0,0,0.0,0.0,0.0,6,1,1,0,0,0,0,0,3,0,0,0,46,354.0,295.0,1,1,0,100.0,25_26,4,1
Javier Rueda Garcia,MC,celta,girona,0,11,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,0,0,0,3,19.0,15.0,1,0,0,0.0,25_26,4,1
Carlos Dominguez,DF,celta,girona,1,90,0,0,0.0,0.1,0,0,0,70,94.3,0,0,0.0,0.0,0.0,5,0,0,0,0,4,1,3,2,0,0,0,39,199.0,84.0,1,2,2,50.0,25_26,4,1
Javi Rodríguez,DF,celta,girona,1,69,0,0,0.0,0.0,0,0,0,64,90.6,0,0,0.0,0.0,0.0,4,4,4,0,2,1,0,1,1,0,0,0,36,144.0,92.0,1,2,2,50.0,25_26,4,1
Carl Starfelt,DF,celta,girona,0,21,0,0,0.2,0.0,2,1,1,11,100.0,0,0,0.0,0.0,0.0,2,0,1,0,1,1,1,0,2,0,0,0,5,8.0,4.0,0,2,0,100.0,25_26,4,1
Ionuț Radu,PT,celta,girona,1,90,0,0,0.0,0.0,0,0,0,25,92.0,0,0,1.0,87.5,1.2,10,0,0,0,0,0,0,0,0,0,0,0,12,99.0,83.0,0,0,0,0.0,25_26,4,1
Vladyslav Vanat,DT,girona,celta,1,66,1,0,0.1,0.0,2,0,2,13,61.5,0,0,0.0,0.0,0.0,11,1,0,0,0,0,0,0,2,0,0,0,11,37.0,18.0,0,3,1,75.0,25_26,4,0
Bryan Gil,DT,girona,celta,0,24,0,0,0.1,0.1,2,2,0,13,69.2,1,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,2,0,2,15,117.0,54.0,3,0,0,0.0,25_26,4,0
Joel Roca,DT,girona,celta,1,45,0,0,0.0,0.0,2,1,1,17,82.4,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,7,4,3,21,257.0,124.0,4,1,1,50.0,25_26,4,0
Portu,DT,girona,celta,0,45,0,0,0.2,0.0,2,0,2,8,100.0,1,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,4,9.0,1.0,0,0,1,0.0,25_26,4,0
Yaser Asprilla,DT,girona,celta,1,90,0,0,0.1,0.0,2,1,1,26,84.6,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,2,1,1,26,173.0,111.0,4,1,1,50.0,25_26,4,0
Axel Witsel,MC,girona,celta,1,90,0,0,0.0,0.1,0,0,0,32,93.8,0,0,0.0,0.0,0.0,5,2,1,0,1,1,0,1,3,0,0,0,27,142.0,83.0,3,0,0,0.0,25_26,4,0
Azzedine Ounahi,MC,girona,celta,1,81,0,0,0.0,0.1,1,1,0,48,79.2,1,0,0.0,0.0,0.0,6,2,1,0,0,1,0,1,0,1,1,0,39,176.0,76.0,3,0,0,0.0,25_26,4,0
Donny van de Beek,MC,girona,celta,0,9,0,0,0.0,0.0,1,0,1,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,0,0,0,0,5,15.0,3.0,0,0,0,0.0,25_26,4,0
Iván Martín,MC,girona,celta,1,81,0,1,0.1,0.1,1,0,1,34,85.3,0,0,0.0,0.0,0.0,11,1,0,0,0,0,0,0,0,1,1,0,30,151.0,67.0,1,0,0,0.0,25_26,4,0
Jhon Solis,MC,girona,celta,0,9,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,1,0,1,3,7.0,0.0,0,0,2,0.0,25_26,4,0
Álex Moreno,DF,girona,celta,1,90,0,0,0.0,0.0,0,0,0,48,72.9,0,0,0.0,0.0,0.0,4,3,2,0,1,1,0,1,5,1,1,0,31,174.0,102.0,3,0,1,0.0,25_26,4,0
Daley Blind,DF,girona,celta,1,90,0,0,0.0,0.0,0,0,0,72,87.5,0,0,0.0,0.0,0.0,6,4,1,0,0,2,1,1,5,2,1,1,51,221.0,97.0,1,2,2,50.0,25_26,4,0
Vitor Reis,DF,girona,celta,1,90,0,0,0.0,0.0,0,0,0,45,97.8,0,0,0.0,0.0,0.0,5,0,0,0,0,4,3,1,4,0,0,0,38,212.0,87.0,0,1,3,25.0,25_26,4,0
Arnau Martinez,DF,girona,celta,1,66,0,0,0.0,0.0,0,0,0,42,88.1,0,0,0.0,0.0,0.0,8,1,1,0,0,1,0,1,3,1,1,0,30,125.0,64.0,1,1,0,100.0,25_26,4,0
Alejandro Francés,DF,girona,celta,0,24,0,0,0.0,0.0,0,0,0,15,80.0,1,0,0.0,0.0,0.0,0,1,2,0,1,1,0,1,0,0,0,0,14,83.0,58.0,2,0,0,0.0,25_26,4,0
Paulo Gazzaniga,PT,girona,celta,1,90,0,0,0.0,0.0,0,0,0,45,55.6,0,0,1.0,100.0,2.7,8,0,0,0,0,0,0,0,1,0,0,0,31,158.0,103.0,0,0,0,0.0,25_26,4,0
