player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Robert Lewandowski,DT,barcelona,getafe,1,90,0,0,0.4,0.0,2,1,1,12,83.3,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,2,1,1,14,80.0,40.0,2,0,0,0.0,25_26,5,1
Ferrán Torres,DT,barcelona,getafe,1,59,2,0,1.0,0.0,4,2,2,24,75.0,0,0,0.0,0.0,0.0,16,2,1,0,0,0,0,0,0,2,0,2,22,70.0,31.0,1,0,1,0.0,25_26,5,1
Fermin López,MC,barcelona,getafe,0,31,0,0,0.0,0.1,1,1,0,25,92.0,0,0,0.0,0.0,0.0,4,0,2,0,2,1,0,1,0,4,3,1,24,166.0,128.0,3,0,0,0.0,25_26,5,1
Raphinha,DT,barcelona,getafe,1,45,0,1,0.0,0.3,1,1,0,26,73.1,1,0,0.0,0.0,0.0,5,1,1,0,1,0,0,0,0,4,1,3,18,70.0,16.0,1,0,1,0.0,25_26,5,1
Marcus Rashford,DT,barcelona,getafe,0,45,0,0,0.2,0.0,2,0,2,15,93.3,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,1,0,1,14,91.0,46.0,2,0,0,0.0,25_26,5,1
Dani Olmo,MC,barcelona,getafe,1,90,1,1,0.3,0.4,4,3,1,67,79.1,0,0,0.0,0.0,0.0,15,2,0,0,0,0,0,0,2,4,1,1,56,205.0,116.0,4,1,2,33.3,25_26,5,1
Frenkie de Jong,MC,barcelona,getafe,1,59,0,0,0.0,0.0,0,0,0,71,91.5,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,1,0,0,0,46,139.0,65.0,0,1,0,100.0,25_26,5,1
Marc Casado,MC,barcelona,getafe,0,31,0,0,0.0,0.0,1,1,0,38,97.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,28,99.0,34.0,0,0,0,0.0,25_26,5,1
Pedri,MC,barcelona,getafe,1,75,0,0,0.0,0.7,0,0,0,97,91.8,0,0,0.0,0.0,0.0,11,0,0,0,0,4,0,4,1,0,0,0,67,357.0,236.0,4,0,0,0.0,25_26,5,1
Roony Bardghji,DT,barcelona,getafe,0,15,0,0,0.0,0.0,1,0,1,10,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,2,4,15,104.0,50.0,2,0,0,0.0,25_26,5,1
Gerard Martín,DF,barcelona,getafe,1,82,0,0,0.0,0.1,0,0,0,63,85.7,0,0,0.0,0.0,0.0,9,1,1,0,0,0,0,0,3,2,1,1,40,127.0,69.0,0,1,0,100.0,25_26,5,1
Ronald Araújo,DF,barcelona,getafe,0,8,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,7,21.0,0.0,0,0,0,0.0,25_26,5,1
Andreas Christensen,DF,barcelona,getafe,1,90,0,0,0.0,0.0,0,0,0,86,96.5,1,0,0.0,0.0,0.0,8,2,2,0,1,0,0,0,5,0,0,0,74,267.0,124.0,0,3,1,75.0,25_26,5,1
