player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Borja Iglesias,ESP,32,DT,7,celta,betis,1,66,0,0,0.1,0.1,2,2,0,19,84.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,13,57.0,38.0,3,1,0,100.0,25_26,6,27/08/2025,1,"[{'penaltis_marcados': [9, 1.0]}]"
Ferran Jutglà,ESP,26,DT,9,celta,betis,0,24,0,0,0.1,0.0,2,0,2,8,50.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,6,35.0,22.0,0,1,2,33.3,25_26,6,27/08/2025,1,[]
Williot Swedberg,SWE,21,MC,19,celta,betis,1,45,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,2,1,0,6,11.0,2.0,0,0,0,0.0,25_26,6,27/08/2025,1,"[{'goles_por_tiro': [1, 0.38]}]"
Javier Rueda Garcia,ESP,23,MC,17,celta,betis,0,45,0,0,0.0,0.0,1,1,0,35,82.9,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,21,76.0,36.0,3,0,0,0.0,25_26,6,27/08/2025,1,"[{'asistencias_90': [8, 0.4]}]"
Pablo Durán,ESP,24,MC,18,celta,betis,1,71,0,0,0.2,0.0,4,2,2,14,50.0,0,0,0.0,0.0,0.0,4,1,1,0,1,0,0,0,1,1,0,1,16,72.0,42.0,2,0,3,0.0,25_26,6,27/08/2025,1,[]
Iago Aspas,ESP,38,MC,10,celta,betis,0,19,0,0,0.1,0.1,1,1,0,24,83.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,18,76.0,41.0,1,0,0,0.0,25_26,6,27/08/2025,1,"[{'penaltis_marcados': [9, 1.0]}]"
Ilaix Moriba,GUI,22,MC,6,celta,betis,1,90,0,0,0.0,0.1,0,0,0,42,90.5,0,0,0.0,0.0,0.0,3,9,5,0,2,1,0,1,0,2,0,2,30,106.0,63.0,1,0,0,0.0,25_26,6,27/08/2025,1,"[{'entradas': [3, 46.0]}]"
Hugo Sotelo,ESP,21,MC,22,celta,betis,1,90,0,0,0.0,0.3,0,0,0,86,80.2,0,0,0.0,0.0,0.0,6,2,1,0,0,2,2,0,1,0,0,0,49,204.0,119.0,2,0,0,0.0,25_26,6,27/08/2025,1,[]
Hugo Álvarez,ESP,22,MC,23,celta,betis,1,71,1,0,0.1,0.0,1,0,1,38,86.8,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,1,3,1,2,27,159.0,97.0,4,0,0,0.0,25_26,6,27/08/2025,1,[]
Bryan Zaragoza,ESP,23,MC,15,celta,betis,0,19,0,0,0.1,0.1,1,1,0,12,75.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,2,1,0,11,95.0,52.0,3,0,0,0.0,25_26,6,27/08/2025,1,"[{'regates_exitosos': [9, 57.0]}]"
Óscar Mingueza,ESP,26,MC,3,celta,betis,1,90,0,0,0.0,0.0,0,0,0,52,90.4,0,0,0.0,0.0,0.0,3,1,1,0,1,1,0,1,2,0,0,0,31,143.0,73.0,3,0,0,0.0,25_26,6,27/08/2025,1,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
Mihailo Ristić,SRB,29,DF,21,celta,betis,1,57,0,0,0.0,0.0,0,0,0,38,92.1,0,0,0.0,0.0,0.0,4,0,0,0,0,1,1,0,1,3,2,1,31,130.0,69.0,1,0,0,0.0,25_26,6,27/08/2025,1,[]
Marcos Alonso,ESP,34,DF,20,celta,betis,0,33,0,0,0.0,0.0,1,1,0,26,92.3,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,3,0,0,0,20,141.0,96.0,1,1,0,100.0,25_26,6,27/08/2025,1,"[{'penaltis_marcados': [10, 3.0]}, {'pases_ultimo_tercio': [5, 226.0]}, {'rojas': [2, 2.0]}]"
Yoel Lago,ESP,21,DF,29,celta,betis,1,90,0,0,0.0,0.0,0,0,0,50,96.0,1,0,0.0,0.0,0.0,4,2,1,0,0,1,1,0,8,0,0,0,34,160.0,89.0,0,1,1,50.0,25_26,6,27/08/2025,1,[]
Javi Rodríguez,ESP,22,DF,32,celta,betis,1,90,0,0,0.1,0.0,1,1,0,61,91.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,4,1,0,1,28,100.0,51.0,0,0,2,0.0,25_26,6,27/08/2025,1,"[{'pases_completados_pct': [7, 91.7]}]"
Ionuț Radu,ROU,28,PT,13,celta,betis,1,90,0,0,0.0,0.0,0,0,0,27,81.5,0,0,1.0,0.0,0.4,4,0,0,0,0,0,0,0,1,0,0,0,13,47.0,12.0,0,0,0,0.0,25_26,6,27/08/2025,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [10, 4.0]}, {'paradas': [5, 55.0]}, {'save_pct': [6, 77.3]}]"
Cucho,COL,26,DT,19,betis,celta,1,71,0,0,0.1,0.0,2,2,0,17,70.6,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,2,0,1,19,52.0,9.0,0,1,0,100.0,25_26,6,27/08/2025,0,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [9, 1.0]}]"
Cédric Bakambu,COD,34,DT,11,betis,celta,0,19,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,3,8.0,2.0,0,0,1,0.0,25_26,6,27/08/2025,0,[]
Rodrigo Riquelme,ESP,25,DT,17,betis,celta,1,71,0,0,0.1,0.1,1,1,0,42,76.2,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,0,2,0,0,35,226.0,112.0,4,0,0,0.0,25_26,6,27/08/2025,0,[]
Ezequiel Ávila,ARG,31,DT,9,betis,celta,0,19,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.0,2.0,0,0,0,0.0,25_26,6,27/08/2025,0,"[{'rojas': [8, 1.0]}]"
