player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Kiké,ESP,35,DT,19,espanyol,valencia,1,90,0,0,0.4,0.2,3,2,1,30,50.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,2,1,1,15,44.0,12.0,1,4,5,44.4,25_26,6,23/09/2025,1,"[{'penaltis_marcados': [9, 1.0]}, {'apariciones_suplente': [9, 10.0]}]"
Javi Puado,ESP,27,DT,7,espanyol,valencia,1,90,1,0,1.2,0.3,5,3,2,29,65.5,0,0,0.0,0.0,0.0,12,0,1,0,1,1,0,1,1,2,1,1,19,147.0,74.0,3,0,2,0.0,25_26,6,23/09/2025,1,"[{'penaltis_marcados': [9, 1.0]}]"
Tyrhys Dolan,ENG,23,DT,24,espanyol,valencia,1,81,0,0,0.2,0.0,2,1,1,17,64.7,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,4,0,4,17,104.0,39.0,1,0,1,0.0,25_26,6,23/09/2025,1,"[{'centros_area': [8, 9.0]}, {'rojas': [2, 1.0]}]"
Antoniu,ESP,23,DT,20,espanyol,valencia,0,9,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,9,120.0,70.0,4,0,0,0.0,25_26,6,23/09/2025,1,[]
Charles Pickel,COD,28,MC,18,espanyol,valencia,1,56,0,0,0.1,0.0,1,1,0,26,69.2,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,13,20.0,4.0,0,2,3,40.0,25_26,6,23/09/2025,1,[]
Roberto Férnandez,ESP,23,MC,9,espanyol,valencia,0,34,0,1,0.1,1.1,2,1,1,8,100.0,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,5,9.0,3.0,0,0,4,0.0,25_26,6,23/09/2025,1,"[{'penaltis_marcados': [9, 1.0]}]"
Edu Expósito,ESP,29,MC,8,espanyol,valencia,1,90,0,1,0.3,0.5,3,1,2,56,69.6,0,0,0.0,0.0,0.0,14,1,1,0,0,0,0,0,1,3,2,1,19,65.0,38.0,1,2,4,33.3,25_26,6,23/09/2025,1,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [4, 56.0]}]"
Pol Lozano,ESP,25,MC,10,espanyol,valencia,1,67,0,0,0.0,0.0,0,0,0,37,91.9,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,1,0,1,19,93.0,23.0,1,1,1,50.0,25_26,6,23/09/2025,1,"[{'faltas_cometidas': [1, 38.0]}]"
Urko González,ESP,24,MC,4,espanyol,valencia,0,23,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,6,11.0,0.0,0,0,0,0.0,25_26,6,23/09/2025,1,[]
Carlos Romero,ESP,23,DF,22,espanyol,valencia,1,81,0,0,0.0,0.0,1,1,0,38,81.6,0,0,0.0,0.0,0.0,1,2,1,0,0,1,0,1,0,1,1,0,20,102.0,73.0,2,0,1,0.0,25_26,6,23/09/2025,1,"[{'entradas': [6, 44.0]}]"
José Salinas,ESP,24,DF,12,espanyol,valencia,0,9,0,0,0.0,0.0,0,0,0,6,33.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1,0.0,25_26,6,23/09/2025,1,[]
Leandro Cabrera,URU,34,DF,6,espanyol,valencia,1,90,1,0,0.2,0.0,4,3,1,64,85.9,0,0,0.0,0.0,0.0,9,2,3,0,1,2,1,1,3,0,0,0,28,82.0,42.0,0,8,1,88.9,25_26,6,23/09/2025,1,"[{'despejes': [9, 91.0]}]"
Clemens Riedel,GER,22,DF,38,espanyol,valencia,1,90,0,0,0.0,0.0,0,0,0,80,86.3,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,13,0,0,0,52,182.0,99.0,0,6,1,85.7,25_26,6,23/09/2025,1,[]
Omar El Hilali,MAR,22,DF,23,espanyol,valencia,1,67,0,0,0.0,0.0,0,0,0,53,81.1,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,4,0,0,0,28,100.0,61.0,2,1,0,100.0,25_26,6,23/09/2025,1,"[{'entradas': [1, 111.0]}, {'intercepciones': [9, 46.0]}, {'amarillas': [6, 11.0]}, {'faltas_cometidas': [10, 52.0]}]"
Rubén,ESP,24,DF,2,espanyol,valencia,0,23,0,0,0.0,0.0,0,0,0,29,72.4,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,1,0,20,233.0,194.0,6,0,0,0.0,25_26,6,23/09/2025,1,[]
Marko Dmitrović,SRB,33,PT,13,espanyol,valencia,1,90,0,0,0.0,0.0,0,0,0,25,80.0,0,0,2.0,0.0,1.4,2,0,0,0,0,0,0,0,2,0,0,0,10,27.0,20.0,0,0,0,0.0,25_26,6,23/09/2025,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [2, 7.0]}, {'paradas': [5, 55.0]}, {'save_pct': [5, 77.5]}]"
Hugo Duro,ESP,25,DT,9,valencia,espanyol,1,90,1,0,0.2,0.0,1,0,1,23,60.9,0,0,0.0,0.0,0.0,6,2,0,0,0,1,0,1,2,1,0,1,13,52.0,41.0,1,3,2,60.0,25_26,6,23/09/2025,0,"[{'goles': [9, 6.0]}, {'goles_90': [8, 0.54]}, {'goles_por_tiro': [5, 0.3]}]"
Arnaut Danjuma,NED,28,DT,7,valencia,espanyol,1,70,1,0,0.6,0.0,1,0,1,27,85.2,0,0,0.0,0.0,0.0,10,1,1,0,1,0,0,0,1,5,1,2,15,127.0,72.0,2,0,2,0.0,25_26,6,23/09/2025,0,[]
Thierry Correia,POR,26,DF,12,valencia,espanyol,0,20,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,20.0,12.0,1,1,1,50.0,25_26,6,23/09/2025,0,"[{'rojas': [10, 1.0]}]"
Diego López,ESP,23,MC,16,valencia,espanyol,1,59,0,0,0.0,0.0,0,0,0,14,71.4,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,7,51.0,30.0,1,2,3,40.0,25_26,6,23/09/2025,0,[]
Lucas Beltrán,ARG,24,DT,15,valencia,espanyol,0,31,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,6,23.0,6.0,0,0,3,0.0,25_26,6,23/09/2025,0,[]
José Luis García Vayá,ESP,27,MC,18,valencia,espanyol,1,59,0,0,0.0,0.0,1,1,0,26,76.9,0,0,0.0,0.0,0.0,4,1,0,0,0,1,1,0,0,0,0,0,9,42.0,3.0,0,0,0,0.0,25_26,6,23/09/2025,0,"[{'penaltis_marcados': [1, 7.0]}, {'pases_clave': [8, 55.0]}, {'pases_ultimo_tercio': [8, 216.0]}, {'corners': [4, 108.0]}, {'entradas': [6, 78.0]}, {'intercepciones': [3, 49.0]}, {'minutos': [6, 3302.0]}]"
Filip Ugrinic,SUI,26,MC,23,valencia,espanyol,0,31,0,1,0.0,0.2,0,0,0,8,87.5,0,0,0.0,0.0,0.0,9,2,0,0,0,0,0,0,1,2,2,0,3,45.0,11.0,1,0,1,0.0,25_26,6,23/09/2025,0,[]
Baptiste Santamaria,FRA,30,MC,22,valencia,espanyol,1,90,0,0,0.0,0.0,0,0,0,49,75.5,1,0,0.0,0.0,0.0,0,5,3,0,1,1,0,1,1,0,0,0,19,85.0,52.0,1,4,1,80.0,25_26,6,23/09/2025,0,[]
Luis Rioja,ESP,31,MC,11,valencia,espanyol,1,75,0,1,0.1,0.6,2,2,0,32,62.5,0,0,0.0,0.0,0.0,9,1,1,0,1,0,0,0,2,1,0,1,20,128.0,30.0,1,0,1,0.0,25_26,6,23/09/2025,0,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
