player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Akor Adams,DT,sevilla,villarreal,1,90,0,0,0.3,0.0,2,2,0,10,60.0,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,2,1,1,6,51.0,34.0,1,2,2,50.0
Chidera Ejuke,DT,sevilla,villarreal,1,54,0,0,0.0,0.1,0,0,0,20,80.0,0,0,0.0,0.0,0.0,5,1,0,0,0,1,0,1,0,5,2,2,12,50.0,12.0,0,0,1,0.0
Alexis Sánchez,DT,sevilla,villarreal,0,36,0,0,0.0,0.1,1,1,0,19,68.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,14,91.0,65.0,1,1,1,50.0
Adnan Januzaj,DT,sevilla,villarreal,1,58,0,0,0.1,0.0,1,1,0,33,75.8,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,0,5,3,2,29,221.0,128.0,4,0,0,0.0
Ruben Vargas,DT,sevilla,villarreal,0,32,0,0,0.1,0.0,2,2,0,21,76.2,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,1,1,0,13,138.0,61.0,3,1,0,100.0
Gabriel Suazo,MC,sevilla,villarreal,1,90,0,0,0.0,0.2,0,0,0,82,87.8,0,0,0.0,0.0,0.0,5,5,7,0,2,0,0,0,1,8,3,3,42,213.0,106.0,4,0,0,0.0
Nemanja Gudelj,MC,sevilla,villarreal,1,70,0,0,0.1,0.1,4,4,0,25,80.0,1,0,0.0,0.0,0.0,3,1,0,0,0,1,1,0,1,3,2,1,13,70.0,44.0,1,2,0,100.0
Batista Mendy,MC,sevilla,villarreal,0,20,0,0,0.1,0.1,2,1,1,7,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,9,72.0,54.0,3,1,0,100.0
Djibril Sow,MC,sevilla,villarreal,1,90,1,0,0.1,0.0,2,1,1,60,90.0,0,0,0.0,0.0,0.0,10,2,1,0,1,0,0,0,0,1,0,0,37,218.0,116.0,3,1,0,100.0
Juanlu Sánchez,MC,sevilla,villarreal,1,70,0,0,0.1,0.2,1,1,0,61,72.1,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,1,4,2,2,38,193.0,132.0,5,2,0,100.0
