player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Borja Mayoral,DT,getafe,alaves,1,82,0,1,0.0,0.1,0,0,0,15,53.3,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,0,0,0,8,44.0,8.0,0,1,1,50.0,25_26,6,24/09/2025,1,"[{'goles_por_tiro': [4, 0.31]}]"
Coba da Costa,DT,getafe,alaves,0,8,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,2,1,1,3,16.0,5.0,0,1,0,100.0,25_26,6,24/09/2025,1,"[{'apariciones_suplente': [9, 10.0]}]"
Abu Kamara,DT,getafe,alaves,1,45,0,0,0.0,0.0,0,0,0,11,36.4,0,0,0.0,0.0,0.0,2,2,2,0,1,1,0,1,0,0,0,0,6,35.0,8.0,1,1,0,100.0,25_26,6,24/09/2025,1,[]
Álex Sancris,DT,getafe,alaves,0,45,0,0,0.0,0.0,1,1,0,11,54.5,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,11,49.0,11.0,0,1,3,25.0,25_26,6,24/09/2025,1,"[{'rojas': [2, 1.0]}]"
Kiko Femenía,DT,getafe,alaves,1,90,0,0,0.0,0.0,0,0,0,31,80.6,0,0,0.0,0.0,0.0,3,0,1,0,1,3,1,2,1,1,0,1,20,121.0,39.0,2,1,6,14.3,25_26,6,24/09/2025,1,"[{'rojas': [10, 1.0]}]"
Mauro Arambarri,MC,getafe,alaves,1,90,1,0,0.1,0.0,2,1,1,19,68.4,0,0,0.0,0.0,0.0,13,3,1,0,1,1,0,1,3,4,2,1,15,124.0,47.0,0,1,1,50.0,25_26,6,24/09/2025,1,"[{'faltas_recibidas': [3, 35.0]}]"
Luis Milla,MC,getafe,alaves,1,90,0,0,0.0,0.1,1,1,0,56,78.6,0,0,0.0,0.0,0.0,6,2,3,0,2,1,0,1,2,0,0,0,22,111.0,61.0,2,1,2,33.3,25_26,6,24/09/2025,1,"[{'asistencias': [2, 6.0]}, {'pases_clave': [8, 32.0]}, {'corners': [3, 59.0]}, {'rojas': [2, 1.0]}]"
Mario Martín,MC,getafe,alaves,1,60,0,0,0.0,0.0,0,0,0,17,88.2,0,0,0.0,0.0,0.0,6,3,1,0,0,0,0,0,1,0,0,0,7,76.0,21.0,1,3,7,30.0,25_26,6,24/09/2025,1,"[{'amarillas': [4, 6.0]}, {'faltas_cometidas': [2, 34.0]}]"
Javier Muñoz,MC,getafe,alaves,0,30,0,0,0.0,0.0,0,0,0,5,40.0,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0,0,0,0.0,25_26,6,24/09/2025,1,[]
Diego Rico,DF,getafe,alaves,1,78,0,0,0.0,0.0,1,1,0,41,65.9,0,0,0.0,0.0,0.0,1,1,2,0,1,1,0,1,0,3,1,2,21,72.0,24.0,1,2,2,50.0,25_26,6,24/09/2025,1,"[{'intercepciones': [6, 23.0]}]"
