player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Vladyslav Vanat,DT,girona,espanyol,1,77,0,0,0.6,0.0,2,1,1,15,86.7,0,0,0.0,0.0,0.0,5,1,1,0,1,2,0,2,2,0,0,0,13,51.0,18.0,1,1,1,50.0
Cristhian Stuani,DT,girona,espanyol,0,13,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,1,1,50.0
Portu,DT,girona,espanyol,1,68,0,0,0.0,0.0,1,1,0,20,60.0,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,0,0,0,15,53.0,18.0,1,0,1,0.0
Bryan Gil,MC,girona,espanyol,0,22,0,0,0.1,0.0,1,1,0,10,80.0,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,4,2,2,9,41.0,15.0,0,0,0,0.0
Azzedine Ounahi,MC,girona,espanyol,1,90,0,0,0.1,0.0,3,2,1,46,87.0,0,0,0.0,0.0,0.0,9,0,2,0,2,2,0,2,1,4,4,0,49,244.0,108.0,5,0,0,0.0
Axel Witsel,MC,girona,espanyol,1,85,0,0,0.2,0.0,1,1,0,49,89.8,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,2,0,0,0,40,108.0,62.0,1,2,0,100.0
Jhon Solis,MC,girona,espanyol,0,5,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,1,0,3,15.0,9.0,0,0,0,0.0
Iván Martín,MC,girona,espanyol,1,90,0,0,0.0,0.1,1,0,1,70,87.1,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,4,2,1,56,258.0,127.0,2,1,0,100.0
Álex Moreno,MC,girona,espanyol,1,90,0,0,0.0,0.0,2,2,0,51,72.5,0,0,0.0,0.0,0.0,6,0,0,0,0,1,1,0,2,3,2,1,31,255.0,171.0,5,4,1,80.0
Hugo Rincón,MC,girona,espanyol,1,68,0,0,0.0,0.0,0,0,0,37,94.6,0,0,0.0,0.0,0.0,7,2,2,0,0,1,0,1,0,5,1,4,28,156.0,67.0,3,0,1,0.0
Yaser Asprilla,MC,girona,espanyol,0,22,0,0,0.0,0.0,1,1,0,12,58.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,11,60.0,20.0,1,0,2,0.0
Daley Blind,DF,girona,espanyol,1,90,0,0,0.0,0.1,0,0,0,88,90.9,0,0,0.0,0.0,0.0,10,1,1,0,0,1,1,0,3,1,1,0,72,416.0,261.0,2,1,0,100.0
Vitor Reis,DF,girona,espanyol,1,90,0,0,0.0,0.0,0,0,0,65,98.5,0,0,0.0,0.0,0.0,11,1,0,0,0,2,2,0,10,0,0,0,51,240.0,145.0,0,3,5,37.5
Alejandro Francés,DF,girona,espanyol,1,77,0,0,0.0,0.2,0,0,0,58,69.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,2,1,1,0,44,217.0,147.0,1,0,1,0.0
Arnau Martinez,DF,girona,espanyol,0,13,0,0,0.0,0.0,0,0,0,12,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,12,77.0,47.0,2,0,0,0.0
Paulo Gazzaniga,PT,girona,espanyol,1,90,0,0,0.0,0.0,0,0,0,33,81.8,0,0,0.0,100.0,1.7,13,0,0,0,0,0,0,0,0,0,0,0,27,112.0,68.0,0,0,0,0.0
Roberto Férnandez,DT,espanyol,girona,1,90,0,0,0.2,0.0,2,1,1,14,71.4,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,2,0,0,0,11,33.0,17.0,0,3,3,50.0
Javi Puado,DT,espanyol,girona,1,74,0,0,0.0,0.2,1,0,1,19,94.7,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,0,1,0,1,15,65.0,39.0,2,0,0,0.0
Jofre,DT,espanyol,girona,0,16,0,0,0.0,0.0,0,0,0,3,0.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,2,0,0,0,3,98.0,81.0,2,0,0,0.0
Pere Milla,MC,espanyol,girona,1,85,0,0,0.4,0.2,6,6,0,24,58.3,0,0,0.0,0.0,0.0,7,3,4,0,3,2,0,2,1,2,1,1,15,81.0,41.0,1,2,1,66.7
Kiké,DT,espanyol,girona,0,5,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,1,3.0,3.0,0,0,0,0.0
Urko González,MC,espanyol,girona,1,64,0,0,0.0,0.1,0,0,0,32,78.1,0,0,0.0,0.0,0.0,10,1,1,0,1,0,0,0,4,1,1,0,20,93.0,43.0,0,0,0,0.0
Edu Expósito,MC,espanyol,girona,0,26,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,2,3,3,0,1,0,0,0,0,0,0,0,9,22.0,12.0,0,0,0,0.0
Pol Lozano,MC,espanyol,girona,1,86,0,0,0.1,0.0,1,1,0,33,90.9,0,0,0.0,0.0,0.0,5,1,6,0,6,0,0,0,1,0,0,0,22,98.0,43.0,1,0,2,0.0
Ramón Terrats,MC,espanyol,girona,0,4,0,0,0.0,0.0,1,1,0,2,50.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,0,0.0
Tyrhys Dolan,MC,espanyol,girona,1,64,0,0,0.2,0.2,2,0,2,21,81.0,0,0,0.0,0.0,0.0,8,3,1,0,0,2,0,2,2,0,0,0,15,120.0,81.0,4,2,4,33.3
Charles Pickel,MC,espanyol,girona,0,26,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,19.0,8.0,0,1,1,50.0
Carlos Romero,DF,espanyol,girona,1,90,0,0,0.1,0.0,4,4,0,37,81.1,0,0,0.0,0.0,0.0,8,4,3,0,0,0,0,0,3,2,1,1,20,104.0,60.0,1,1,0,100.0
Clemens Riedel,DF,espanyol,girona,1,90,0,0,0.1,0.0,2,1,1,42,92.9,0,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,4,0,0,0,32,147.0,84.0,0,2,0,100.0
