player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Borja Mayoral,DT,getafe,levante,1,76,0,0,0.0,0.0,0,0,0,13,76.9,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,11,40.0,14.0,0,2,3,40.0
Allan Nyom,DT,getafe,levante,0,14,0,0,0.0,0.0,0,0,0,6,16.7,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,7.0,0.0,0,1,0,100.0
Javier Muñoz,DT,getafe,levante,1,76,0,0,0.0,0.0,3,2,1,20,65.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,15,58.0,18.0,0,0,2,0.0
Yvan Neyou,MC,getafe,levante,0,14,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,2,3.0,0.0,0,0,1,0.0
Mauro Arambarri,MC,getafe,levante,1,90,0,0,0.1,0.0,1,1,0,24,66.7,0,0,0.0,0.0,0.0,2,3,1,0,1,0,0,0,0,0,0,0,15,81.0,41.0,2,4,3,57.1
Luis Milla,MC,getafe,levante,1,90,0,0,0.0,0.1,0,0,0,53,64.2,1,0,0.0,0.0,0.0,7,1,2,0,1,0,0,0,3,2,0,2,16,36.0,25.0,0,4,1,80.0
Mario Martín,MC,getafe,levante,1,39,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,1,0,0,0,4,14.0,5.0,0,1,2,33.3
Coba da Costa,MC,getafe,levante,0,51,0,0,0.1,0.0,3,2,1,15,46.7,0,0,0.0,0.0,0.0,5,1,1,0,0,1,0,1,0,5,3,2,12,82.0,18.0,1,2,0,100.0
Davinchi,DF,getafe,levante,1,90,0,0,0.0,0.0,1,1,0,53,56.6,0,0,0.0,0.0,0.0,5,3,3,0,1,0,0,0,8,2,2,0,19,100.0,72.0,2,3,2,60.0
Abdel Abqar,DF,getafe,levante,1,90,0,1,0.0,0.2,0,0,0,30,80.0,1,0,0.0,0.0,0.0,10,4,1,0,0,2,1,1,5,1,0,1,13,106.0,67.0,1,2,2,50.0
Domingos Duarte,DF,getafe,levante,1,45,0,0,0.0,0.0,0,0,0,19,84.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,8,0,0,0,9,41.0,8.0,0,4,2,66.7
Kiko Femenía,DF,getafe,levante,0,45,0,0,0.0,0.0,1,1,0,26,84.6,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,5,1,1,0,6,19.0,13.0,0,0,1,0.0
Djené,DF,getafe,levante,1,39,0,0,0.0,0.0,0,0,0,13,69.2,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,4,0,0,0,8,32.0,6.0,0,1,1,50.0
Álex Sancris,MC,getafe,levante,0,51,0,0,0.0,0.0,1,0,1,26,50.0,0,0,0.0,0.0,0.0,2,3,0,0,0,0,0,0,1,2,1,1,15,99.0,56.0,3,0,1,0.0
Iglesias,DF,getafe,levante,1,90,1,0,0.2,0.0,1,0,1,37,54.1,0,0,0.0,0.0,0.0,16,2,0,0,0,1,0,1,14,3,2,1,20,89.0,43.0,0,0,2,0.0
David Soria,PT,getafe,levante,1,90,0,0,0.0,0.0,0,0,0,35,54.3,0,0,1.0,66.7,0.5,5,0,0,0,0,0,0,0,2,0,0,0,12,46.0,23.0,0,0,0,0.0
Iván Romero,DT,levante,getafe,1,84,1,0,0.7,0.0,5,3,2,18,44.4,0,0,0.0,0.0,0.0,9,0,0,0,0,2,0,2,1,1,0,1,11,33.0,2.0,0,3,3,50.0
José Luis Morales,MC,levante,getafe,0,6,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,20.0,16.0,1,0,1,0.0
Karl Etta Eyong,DT,levante,getafe,1,90,0,0,0.5,0.0,4,3,1,16,37.5,1,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,3,0,0,0,13,35.0,15.0,0,5,5,50.0
Brugui,MC,levante,getafe,1,74,0,1,0.0,0.1,0,0,0,13,76.9,0,0,0.0,0.0,0.0,9,2,1,0,1,1,0,1,1,1,0,1,4,19.0,9.0,0,2,1,66.7
Goduine Koyalipou,DT,levante,getafe,0,16,0,0,0.0,0.0,1,1,0,5,60.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,17.0,7.0,0,0,1,0.0
Kervin Arriaga,MC,levante,getafe,1,61,0,0,0.0,0.0,0,0,0,27,66.7,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,1,0,1,8,26.0,4.0,0,4,1,80.0
Oriol Rey,MC,levante,getafe,0,29,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,4,9.0,4.0,0,0,1,0.0
Unai Vencedor Paris,MC,levante,getafe,1,61,0,0,0.0,0.2,0,0,0,17,52.9,0,0,0.0,0.0,0.0,3,2,3,0,1,2,0,2,2,0,0,0,8,27.0,6.0,0,0,1,0.0
Pablo Martínez,MC,levante,getafe,0,29,0,0,0.0,0.0,0,0,0,14,64.3,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,0,0,0,6,21.0,0.0,0,2,0,100.0
Carlos Álvarez,MC,levante,getafe,1,73,0,0,0.0,0.0,1,1,0,16,68.8,0,0,0.0,0.0,0.0,3,2,1,0,1,0,0,0,1,5,2,3,12,86.0,50.0,1,1,1,50.0
Olasagasti,MC,levante,getafe,0,17,0,0,0.0,0.0,0,0,0,9,66.7,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,2,1,0,1,8,23.0,4.0,0,1,0,100.0
Manu Sánchez,DF,levante,getafe,1,90,0,0,0.0,0.0,0,0,0,36,63.9,1,0,0.0,0.0,0.0,2,4,3,0,1,2,0,2,5,0,0,0,14,41.0,19.0,0,0,1,0.0
Adrián de la Fuente,DF,levante,getafe,1,90,0,0,0.0,0.0,0,0,0,37,70.3,0,0,0.0,0.0,0.0,6,1,1,0,1,0,0,0,10,1,1,0,22,52.0,14.0,0,2,0,100.0
Matias Moreno,DF,levante,getafe,1,90,0,0,0.0,0.0,0,0,0,29,51.7,0,0,0.0,0.0,0.0,7,1,0,0,0,1,0,1,8,0,0,0,13,40.0,8.0,0,2,3,40.0
Jeremy Toljan,DF,levante,getafe,1,90,0,0,0.0,0.5,0,0,0,41,63.4,0,0,0.0,0.0,0.0,7,4,3,0,1,1,0,1,4,0,0,0,20,104.0,50.0,1,0,5,0.0
Mathew Ryan,PT,levante,getafe,1,90,0,0,0.0,0.0,0,0,0,42,45.2,0,0,1.0,75.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,21,102.0,32.0,0,1,0,100.0
