player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Isaac Palazón Camacho,DT,rayo,sevilla,1,77,0,0,0.2,0.0,3,3,0,32,62.5,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,2,0,0,0,17,48.0,21.0,2,1,0,100.0
Óscar Trejo,MC,rayo,sevilla,0,13,0,0,0.0,0.1,0,0,0,12,91.7,1,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,1,0,0,9,34.0,18.0,0,0,0,0.0
Alexandre Alemão,DT,rayo,sevilla,1,77,0,0,0.2,0.0,3,2,1,14,64.3,0,0,0.0,0.0,0.0,6,1,1,0,0,0,0,0,0,2,2,0,15,63.0,4.0,0,3,4,42.9
Sergio Camello,DT,rayo,sevilla,0,12,0,0,0.5,0.0,2,1,1,4,50.0,1,1,0.0,0.0,0.0,-3,0,0,0,0,0,0,0,0,0,0,0,3,3.0,1.0,0,1,0,100.0
Álvaro García,MC,rayo,sevilla,1,90,0,0,0.4,0.7,4,3,1,33,51.5,0,0,0.0,0.0,0.0,6,1,1,0,1,1,0,1,2,1,0,1,18,74.0,22.0,0,0,1,0.0
Óscar Valentín,MC,rayo,sevilla,1,89,0,0,0.0,0.0,0,0,0,39,84.6,0,0,0.0,0.0,0.0,5,6,4,0,0,3,1,2,3,1,0,1,19,95.0,52.0,0,0,3,0.0
Samu Becerra,MC,rayo,sevilla,0,1,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,22.0,0.0,0,0,0,0.0
Pedro Díaz,MC,rayo,sevilla,1,66,0,0,0.0,0.0,0,0,0,35,88.6,0,0,0.0,0.0,0.0,5,0,0,0,0,2,0,2,1,2,0,1,18,34.0,16.0,0,0,0,0.0
Unai López,MC,rayo,sevilla,0,24,0,0,0.0,0.0,0,0,0,28,78.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,13,83.0,72.0,2,0,1,0.0
Jorge de Frutos,MC,rayo,sevilla,1,66,0,0,0.0,0.1,0,0,0,17,64.7,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,5,3,1,13,114.0,66.0,3,1,0,100.0
Francisco Perez,DT,rayo,sevilla,0,24,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,36.0,9.0,0,0,0,0.0
Pep Chavarría,DF,rayo,sevilla,1,90,0,0,0.1,0.1,1,1,0,56,75.0,0,0,0.0,0.0,0.0,3,2,2,0,1,2,0,2,1,3,1,2,26,223.0,154.0,4,0,1,0.0
Pathé Ciss,DF,rayo,sevilla,1,90,0,0,0.3,0.0,1,0,1,73,90.4,0,0,0.0,0.0,0.0,7,1,0,0,0,3,1,2,5,1,0,0,46,194.0,148.0,2,2,1,66.7
Florian Lejeune,DF,rayo,sevilla,1,90,0,0,0.1,0.1,3,2,1,83,88.0,1,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,4,0,0,0,52,199.0,146.0,0,2,0,100.0
Andrei Ratiu,DF,rayo,sevilla,1,90,0,0,0.0,0.0,1,0,1,62,77.4,0,0,0.0,0.0,0.0,5,2,0,0,0,3,0,3,2,3,1,2,31,118.0,39.0,0,0,2,0.0
Augusto Batalla,PT,rayo,sevilla,1,90,0,0,0.0,0.0,0,0,0,49,83.7,0,0,1.0,0.0,0.6,3,0,0,0,0,0,0,0,0,0,0,0,23,78.0,28.0,0,0,0,0.0
Isaac Romero,DT,sevilla,rayo,1,68,0,0,0.1,0.0,1,1,0,12,41.7,0,0,0.0,0.0,0.0,4,0,1,0,1,2,0,2,1,2,0,2,8,29.0,18.0,1,1,0,100.0
Akor Adams,DT,sevilla,rayo,0,22,1,0,0.4,0.0,1,0,1,9,55.6,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,0,0,0,5,9.0,3.0,0,1,1,50.0
Ruben Vargas,DT,sevilla,rayo,1,68,0,0,0.1,0.0,1,1,0,22,45.5,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,1,5,1,3,15,166.0,62.0,3,0,1,0.0
Adnan Januzaj,DT,sevilla,rayo,0,22,0,0,0.0,0.0,0,0,0,8,50.0,0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,3,0,1,8,43.0,6.0,1,0,0,0.0
Alexis Sánchez,DT,sevilla,rayo,1,89,0,0,0.0,0.0,0,0,0,28,75.0,0,0,0.0,0.0,0.0,5,2,1,0,0,2,0,2,2,1,0,1,14,82.0,49.0,1,1,1,50.0
Peque,DT,sevilla,rayo,0,1,0,0,0.0,0.0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0,0,0,0.0
Gabriel Suazo,MC,sevilla,rayo,1,90,0,0,0.0,0.0,0,0,0,43,74.4,0,0,0.0,0.0,0.0,8,3,3,0,1,0,0,0,2,0,0,0,14,57.0,31.0,1,0,1,0.0
Batista Mendy,MC,sevilla,rayo,1,90,0,0,0.0,0.0,0,0,0,22,54.5,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,1,0,0,0,10,47.0,29.0,1,1,0,100.0
Lucien Agoume,MC,sevilla,rayo,1,76,0,0,0.0,0.0,0,0,0,27,63.0,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,3,0,0,0,11,59.0,28.0,1,0,1,0.0
Djibril Sow,MC,sevilla,rayo,0,14,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,4.0,4.0,0,0,0,0.0
Carmona,MC,sevilla,rayo,1,90,0,1,0.0,0.4,1,1,0,27,66.7,1,0,0.0,0.0,0.0,14,3,2,0,1,2,1,1,8,2,1,0,14,120.0,77.0,4,2,0,100.0
Marcão,DF,sevilla,rayo,1,90,0,0,0.0,0.0,0,0,0,19,94.7,0,0,0.0,0.0,0.0,8,0,2,0,2,2,1,1,7,1,0,0,12,67.0,56.0,0,3,1,75.0
Fábio Cardoso,DF,sevilla,rayo,1,76,0,0,0.0,0.0,0,0,0,15,80.0,0,0,0.0,0.0,0.0,8,1,2,0,1,1,1,0,6,0,0,0,9,12.0,2.0,0,2,2,50.0
Ramón Martínez,DF,sevilla,rayo,0,14,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,3,10.0,2.0,0,1,0,100.0
César Azpilicueta,DF,sevilla,rayo,1,90,0,0,0.0,0.0,0,0,0,39,71.8,0,0,0.0,0.0,0.0,6,2,2,0,1,5,2,3,4,0,0,0,16,99.0,63.0,1,1,2,33.3
Odysseas Vlachodimos,PT,sevilla,rayo,1,90,0,0,0.0,0.0,0,0,0,35,65.7,0,0,0.0,100.0,1.6,14,0,0,0,0,0,0,0,0,0,0,0,14,96.0,46.0,0,0,0,0.0
