player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Salomón Rondón,DT,oviedo,levante,1,57,0,0,0.0,0.0,1,1,0,10,60.0,1,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,5,26.0,18.0,1,3,2,60.0
Federico Viñas,DT,oviedo,levante,0,33,0,0,0.2,0.4,1,1,0,6,50.0,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,0,6,23.0,3.0,0,2,3,40.0
Josip Brekalo,DT,oviedo,levante,1,45,0,0,0.0,0.0,1,1,0,20,65.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,14,61.0,29.0,1,0,0,0.0
Ilyas Chaira,DT,oviedo,levante,0,45,0,0,0.5,0.0,3,2,1,23,82.6,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,3,1,2,19,102.0,47.0,1,1,0,100.0
Haissem Hassan,DT,oviedo,levante,1,90,0,0,0.1,0.3,2,2,0,38,81.6,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,0,9,4,4,37,488.0,259.0,11,0,0,0.0
Santiago Colombatto,MC,oviedo,levante,1,73,0,0,0.0,0.1,0,0,0,42,78.6,0,0,0.0,0.0,0.0,1,2,1,0,0,3,1,2,1,0,0,0,29,117.0,54.0,0,1,0,100.0
Ovie Ejaria,MC,oviedo,levante,0,17,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,11,88.0,65.0,2,0,0,0.0
Leander Dendoncker,MC,oviedo,levante,1,82,0,0,0.0,0.0,0,0,0,45,91.1,0,0,0.0,0.0,0.0,3,1,1,0,1,1,1,0,1,1,1,0,35,149.0,72.0,0,3,3,50.0
Álex Forés,DT,oviedo,levante,0,8,0,0,0.1,0.0,1,1,0,2,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,34.0,19.0,1,0,1,0.0
Alberto Reina,MC,oviedo,levante,1,57,0,0,0.1,0.0,1,1,0,26,88.5,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,22,131.0,69.0,0,1,1,50.0
Santi Cazorla,MC,oviedo,levante,0,33,0,0,0.0,0.1,0,0,0,30,80.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,16,58.0,11.0,0,1,0,100.0
Rahim Bonkano,DF,oviedo,levante,1,90,0,0,0.0,0.3,0,0,0,65,73.8,0,0,0.0,0.0,0.0,2,4,3,0,1,3,2,1,3,2,0,2,38,111.0,45.0,0,0,1,0.0
David Carmo,DF,oviedo,levante,1,90,0,0,0.3,0.0,3,2,1,84,90.5,1,0,0.0,0.0,0.0,4,0,0,0,0,1,1,0,8,0,0,0,71,328.0,191.0,2,7,0,100.0
Eric Bailly,DF,oviedo,levante,1,90,0,0,0.0,0.0,0,0,0,59,84.7,0,0,0.0,0.0,0.0,3,1,1,0,0,3,3,0,7,1,0,0,44,300.0,179.0,0,4,1,80.0
Lucas Ahijado,DF,oviedo,levante,1,90,0,0,0.0,0.0,0,0,0,51,86.3,0,0,0.0,0.0,0.0,1,5,2,0,0,0,0,0,3,1,0,1,33,242.0,140.0,2,2,0,100.0
Aarón Escandell,PT,oviedo,levante,1,90,0,0,0.0,0.0,0,0,0,30,93.3,0,0,2.0,60.0,2.0,2,0,0,0,0,0,0,0,1,0,0,0,23,94.0,54.0,0,0,0,0.0
Iván Romero,DT,levante,oviedo,1,79,0,0,0.2,0.3,2,2,0,16,75.0,0,0,0.0,0.0,0.0,4,0,1,0,1,1,1,0,1,2,0,2,22,89.0,21.0,0,2,3,40.0
José Luis Morales,DT,levante,oviedo,0,11,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,8.0,4.0,0,1,1,50.0
Karl Etta Eyong,DT,levante,oviedo,1,86,1,0,1.2,0.0,2,1,1,16,87.5,0,0,0.0,0.0,0.0,11,1,0,0,0,0,0,0,1,2,0,2,23,74.0,20.0,0,1,4,20.0
Goduine Koyalipou,DT,levante,oviedo,0,4,0,0,0.0,0.0,1,1,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,1,0,1,18.0,13.0,0,1,1,50.0
Brugui,MC,levante,oviedo,1,65,0,0,0.1,0.0,1,0,1,21,85.7,0,0,0.0,0.0,0.0,4,0,2,0,2,1,1,0,0,1,0,1,19,68.0,46.0,1,0,3,0.0
Pablo Martínez,MC,levante,oviedo,0,25,0,0,0.1,0.0,1,1,0,11,81.8,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,1,0,0,0,9,55.0,29.0,1,1,0,100.0
Unai Vencedor Paris,MC,levante,oviedo,1,65,0,0,0.0,0.0,0,0,0,43,74.4,0,0,0.0,0.0,0.0,4,0,2,0,2,0,0,0,2,0,0,0,32,101.0,39.0,0,1,2,33.3
Oriol Rey,MC,levante,oviedo,0,25,0,0,0.0,0.0,1,0,1,11,72.7,0,0,0.0,0.0,0.0,3,2,2,0,0,1,0,1,1,0,0,0,9,45.0,12.0,0,0,0,0.0
Kervin Arriaga,MC,levante,oviedo,1,90,0,0,0.0,0.0,1,1,0,44,84.1,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,4,1,0,1,38,169.0,45.0,0,1,4,20.0
Carlos Álvarez,MC,levante,oviedo,1,79,1,0,0.2,0.0,2,1,1,29,89.7,0,0,0.0,0.0,0.0,13,3,2,0,0,0,0,0,1,2,1,0,27,182.0,126.0,6,0,0,0.0
Víctor García,MC,levante,oviedo,0,11,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,1,0,0,2,1,1,6,26.0,7.0,1,0,0,0.0
Manu Sánchez,DF,levante,oviedo,1,90,0,1,0.1,0.4,2,2,0,36,77.8,0,0,0.0,0.0,0.0,13,4,3,0,0,2,1,1,4,2,0,1,29,194.0,102.0,3,0,0,0.0
Adrián de la Fuente,DF,levante,oviedo,1,90,0,0,0.0,0.0,1,0,1,53,83.0,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,9,0,0,0,45,255.0,123.0,0,0,4,0.0
Matias Moreno,DF,levante,oviedo,1,90,0,0,0.0,0.0,0,0,0,31,87.1,1,0,0.0,0.0,0.0,9,0,0,0,0,3,1,2,10,0,0,0,25,122.0,64.0,0,4,3,57.1
Jeremy Toljan,DF,levante,oviedo,1,90,0,0,0.0,0.0,0,0,0,45,66.7,1,0,0.0,0.0,0.0,3,1,2,0,1,2,0,2,2,0,0,0,21,153.0,122.0,2,0,0,0.0
Mathew Ryan,PT,levante,oviedo,1,90,0,0,0.0,0.0,0,0,0,42,69.0,0,0,0.0,100.0,0.5,10,0,0,0,0,0,0,0,2,0,0,0,25,152.0,61.0,0,0,0,0.0
