player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Kylian Mbappé,FRA,26,DT,10,real madrid,villarreal,1,82,1,1,0.3,0.5,3,1,2,52,90.4,0,0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,8,2,6,44,214.0,127.0,5,0,0,0.0,25_26,8,04/10/2025,1,"[{'goles': [1, 18.0]}, {'goles_90': [2, 1.03]}, {'asistencias': [8, 4.0]}, {'penaltis_marcados': [1, 5.0]}, {'tiros_puerta': [1, 33.0]}, {'pases_clave': [1, 49.0]}, {'regates_exitosos': [2, 51.0]}, {'minutos': [3, 1570.0]}]"
Rodrygo,BRA,24,DT,11,real madrid,villarreal,0,8,0,0,0.0,0.0,0,0,0,9,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,1,0,1,9,53.0,40.0,2,0,0,0.0,25_26,8,04/10/2025,1,"[{'apariciones_suplente': [5, 11.0]}]"
Vinicius Júnior,BRA,25,DT,7,real madrid,villarreal,1,90,2,0,1.3,0.4,4,2,2,78,87.2,0,0,0.0,0.0,0.0,22,2,1,0,1,0,0,0,0,14,6,6,70,496.0,296.0,12,0,0,0.0,25_26,8,04/10/2025,1,"[{'asistencias': [4, 5.0]}, {'penaltis_marcados': [9, 1.0]}, {'tiros_puerta': [5, 20.0]}, {'pases_clave': [7, 33.0]}, {'regates_exitosos': [3, 43.0]}, {'faltas_recibidas': [6, 34.0]}]"
Franco Mastantuono,ARG,18,DT,30,real madrid,villarreal,1,74,0,0,0.4,0.3,3,3,0,45,88.9,1,0,0.0,0.0,0.0,4,2,4,0,2,1,0,1,1,6,3,3,42,188.0,46.0,0,0,0,0.0,25_26,8,04/10/2025,1,[]
Brahim Díaz,MAR,26,DT,21,real madrid,villarreal,0,16,0,1,0.1,0.3,1,1,0,14,78.6,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,11,68.0,55.0,2,0,0,0.0,25_26,8,04/10/2025,1,"[{'asistencias_90': [5, 0.35]}]"
Arda Güler,TUR,20,MC,15,real madrid,villarreal,1,63,0,0,0.1,0.0,3,3,0,49,89.8,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,0,0,0,0,33,144.0,81.0,1,0,0,0.0,25_26,8,04/10/2025,1,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [7, 48.0]}]"
Jude Bellingham,ENG,22,MC,5,real madrid,villarreal,0,27,0,0,0.5,0.1,3,1,2,16,93.8,0,0,0.0,0.0,0.0,3,2,0,0,0,0,0,0,0,1,1,0,15,69.0,47.0,1,0,0,0.0,25_26,8,04/10/2025,1,"[{'tiros_puerta': [7, 17.0]}]"
Dani Ceballos,ESP,29,MC,19,real madrid,villarreal,1,63,0,0,0.0,0.0,0,0,0,62,91.9,0,0,0.0,0.0,0.0,6,3,4,0,2,1,0,1,0,1,0,1,50,198.0,101.0,2,0,0,0.0,25_26,8,04/10/2025,1,"[{'pases_completados_pct': [2, 94.3]}]"
Eduardo Camavinga,FRA,22,MC,6,real madrid,villarreal,0,27,0,0,0.0,0.0,1,1,0,24,91.7,0,0,0.0,0.0,0.0,2,3,2,0,2,0,0,0,0,1,0,1,23,92.0,57.0,1,1,0,100.0,25_26,8,04/10/2025,1,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Aurélien Tchouaméni,FRA,25,MC,14,real madrid,villarreal,1,90,0,0,0.5,0.0,3,3,0,68,97.1,1,0,0.0,0.0,0.0,3,1,0,0,0,1,1,0,2,0,0,0,53,164.0,54.0,0,2,0,100.0,25_26,8,04/10/2025,1,"[{'pases_ultimo_tercio': [5, 106.0]}]"
