player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Roberto Férnandez,DT,espanyol,betis,1,90,0,0,0.4,0.0,4,3,1,18,66.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,3,1,0,0,14,46.0,19.0,1,3,8,27.3
Pere Milla,DT,espanyol,betis,1,59,0,0,0.5,0.3,2,1,1,14,71.4,1,0,0.0,0.0,0.0,4,1,0,0,0,2,1,1,0,0,0,0,9,45.0,22.0,2,2,0,100.0
Urko González,MC,espanyol,betis,0,31,0,0,0.1,0.0,1,1,0,25,76.0,0,0,0.0,0.0,0.0,0,2,3,0,1,3,0,3,0,0,0,0,14,48.0,17.0,0,1,2,33.3
Tyrhys Dolan,DT,espanyol,betis,1,67,0,0,0.0,0.0,0,0,0,21,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,0,2,19,201.0,118.0,5,1,2,33.3
Luca Koleosho,MC,espanyol,betis,0,23,0,0,0.0,0.0,1,1,0,19,78.9,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,4,2,2,14,147.0,47.0,2,0,0,0.0
Javi Puado,MC,espanyol,betis,1,90,0,0,1.2,0.0,3,2,1,49,81.6,1,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,5,3,2,42,274.0,133.0,6,1,0,100.0
Edu Expósito,MC,espanyol,betis,1,82,0,0,0.0,0.1,0,0,0,58,70.7,0,0,0.0,0.0,0.0,4,1,2,0,1,0,0,0,0,2,2,0,34,211.0,129.0,4,0,0,0.0
Ramón Terrats,MC,espanyol,betis,0,8,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,19.0,6.0,0,1,0,100.0
Pol Lozano,MC,espanyol,betis,1,67,1,0,0.0,0.1,1,0,1,30,76.7,0,0,0.0,0.0,0.0,8,2,1,0,1,1,0,1,0,0,0,0,21,98.0,34.0,0,0,1,0.0
Kiké,DT,espanyol,betis,0,23,0,0,0.0,0.1,0,0,0,8,87.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,37.0,5.0,0,1,2,33.3
