player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Tani Oluwaseyi,DT,villarreal,betis,1,62,0,0,0.0,0.0,1,0,1,2,50.0,0,0,0.0,0.0,0.0,3,1,1,0,0,2,0,2,0,0,0,0,4,11.0,9.0,0,1,0,100.0,25_26,9,1
Ayoze Pérez,DT,villarreal,betis,0,28,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,7,91.0,46.0,3,2,0,100.0,25_26,9,1
Gerard Moreno,DT,villarreal,betis,1,62,0,0,0.0,0.0,0,0,0,20,80.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,17,63.0,16.0,0,2,3,40.0,25_26,9,1
Nicolas Pépé,DT,villarreal,betis,0,28,0,0,0.1,0.0,1,1,0,7,85.7,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,1,1,10,53.0,40.0,1,0,0,0.0,25_26,9,1
Alberto Moleiro,MC,villarreal,betis,1,72,1,1,0.2,0.1,1,0,1,29,55.2,0,0,0.0,0.0,0.0,13,0,0,0,0,1,0,1,0,1,1,0,24,179.0,133.0,7,0,0,0.0,25_26,9,1
Sergi Cardona,DF,villarreal,betis,0,18,0,0,0.0,0.1,0,0,0,8,62.5,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,4,34.0,28.0,2,1,0,100.0,25_26,9,1
Santi Comesaña,MC,villarreal,betis,1,90,0,1,0.2,0.2,1,1,0,43,76.7,0,0,0.0,0.0,0.0,9,1,0,0,0,2,0,2,3,0,0,0,35,181.0,115.0,2,2,1,66.7,25_26,9,1
Daniel Parejo,MC,villarreal,betis,1,72,0,0,0.0,0.0,0,0,0,47,93.6,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,1,1,1,0,27,108.0,68.0,3,1,0,100.0,25_26,9,1
Pape Gueye,MC,villarreal,betis,0,18,0,0,0.1,0.0,1,1,0,6,33.3,0,0,0.0,0.0,0.0,1,0,0,0,0,2,1,1,1,1,0,0,4,15.0,5.0,0,0,0,0.0,25_26,9,1
Tajon Buchanan,MC,villarreal,betis,1,90,1,0,0.0,0.0,1,0,1,20,55.0,1,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,1,3,1,2,18,224.0,85.0,4,0,0,0.0,25_26,9,1
