player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Julián Álvarez,ARG,25,DT,19,atletico madrid,osasuna,1,81,0,0,0.3,0.7,3,0,3,21,85.7,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,1,0,1,20,102.0,50.0,2,0,0,0.0,25_26,9,18/10/2025,1,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [6, 2.0]}, {'tiros_puerta': [9, 16.0]}, {'pases_clave': [4, 36.0]}, {'corners': [6, 51.0]}]"
Giacomo Raspadori,ITA,25,MC,22,atletico madrid,osasuna,0,9,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0,0,0,0.0,25_26,9,18/10/2025,1,"[{'apariciones_suplente': [9, 10.0]}]"
Antoine Griezmann,FRA,34,DT,7,atletico madrid,osasuna,1,54,0,0,0.7,0.0,3,1,2,25,80.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,1,0,9,48.0,15.0,0,0,1,0.0,25_26,9,18/10/2025,1,"[{'goles': [9, 6.0]}, {'goles_90': [5, 0.8]}, {'apariciones_suplente': [3, 13.0]}]"
Alexander Sørloth,NOR,29,DT,9,atletico madrid,osasuna,0,36,0,0,0.2,0.0,2,2,0,12,41.7,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,2,0,1,7,46.0,14.0,2,5,3,62.5,25_26,9,18/10/2025,1,"[{'rojas': [2, 1.0]}]"
Alex Baena,ESP,24,MC,10,atletico madrid,osasuna,1,62,0,0,0.0,0.6,1,0,1,38,78.9,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,0,3,0,3,26,152.0,24.0,0,2,0,100.0,25_26,9,18/10/2025,1,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Thiago Almada,ARG,24,MC,11,atletico madrid,osasuna,0,28,1,0,0.6,0.0,1,0,1,14,64.3,0,0,0.0,0.0,0.0,10,1,0,0,0,0,0,0,2,1,1,0,12,98.0,76.0,4,0,0,0.0,25_26,9,18/10/2025,1,[]
Koke,ESP,33,MC,6,atletico madrid,osasuna,1,53,0,0,0.0,0.1,1,1,0,49,89.8,1,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,1,0,0,0,37,195.0,100.0,0,2,1,66.7,25_26,9,18/10/2025,1,"[{'pases_completados_pct': [10, 91.5]}]"
Conor Gallagher,ENG,25,MC,4,atletico madrid,osasuna,0,37,0,0,0.0,0.0,0,0,0,22,86.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,15,38.0,6.0,0,0,0,0.0,25_26,9,18/10/2025,1,"[{'apariciones_suplente': [1, 14.0]}]"
Pablo Barrios,ESP,22,MC,8,atletico madrid,osasuna,1,90,0,0,0.1,0.1,2,1,1,67,91.0,0,0,0.0,0.0,0.0,8,1,3,0,2,0,0,0,2,1,1,0,44,206.0,72.0,1,0,0,0.0,25_26,9,18/10/2025,1,"[{'regates_exitosos': [10, 29.0]}]"
Nicolás González,ARG,27,DF,23,atletico madrid,osasuna,1,42,0,0,0.0,0.0,0,0,0,23,65.2,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,13,97.0,43.0,1,2,2,50.0,25_26,9,18/10/2025,1,[]
