player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Adrián Liso,ESP,20,DT,23,getafe,real madrid,1,89,0,0,0.1,0.0,2,2,0,13,46.2,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,3,1,2,7,53.0,22.0,0,4,4,50.0,25_26,9,19/10/2025,1,[]
Coba da Costa,ESP,23,MC,20,getafe,real madrid,0,1,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,54.0,0.0,0,0,0,0.0,25_26,9,19/10/2025,1,"[{'apariciones_suplente': [9, 10.0]}]"
Álex Sancris,ESP,28,DT,18,getafe,real madrid,1,83,0,0,0.0,0.1,1,1,0,16,43.8,2,1,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,11,56.0,25.0,1,0,7,0.0,25_26,9,19/10/2025,1,"[{'rojas': [2, 1.0]}]"
Mauro Arambarri,URU,30,MC,8,getafe,real madrid,1,90,0,0,0.1,0.0,1,1,0,7,42.9,0,0,0.0,0.0,0.0,2,0,1,0,1,3,1,2,2,1,0,1,3,13.0,0.0,0,2,4,33.3,25_26,9,19/10/2025,1,"[{'faltas_recibidas': [3, 35.0]}]"
Luis Milla,ESP,31,MC,5,getafe,real madrid,1,90,0,0,0.0,0.0,1,1,0,29,55.2,0,0,0.0,0.0,0.0,3,3,0,0,0,0,0,0,0,1,0,1,13,100.0,19.0,1,1,2,33.3,25_26,9,19/10/2025,1,"[{'asistencias': [2, 6.0]}, {'pases_clave': [8, 32.0]}, {'corners': [3, 59.0]}, {'rojas': [2, 1.0]}]"
Mario Martín,ESP,21,MC,6,getafe,real madrid,1,86,0,0,0.0,0.1,0,0,0,12,66.7,0,0,0.0,0.0,0.0,2,0,3,0,3,1,0,1,0,3,0,3,8,42.0,18.0,1,2,2,50.0,25_26,9,19/10/2025,1,"[{'amarillas': [4, 6.0]}, {'faltas_cometidas': [2, 34.0]}]"
Abu Kamara,ENG,22,MC,11,getafe,real madrid,0,4,0,0,0.3,0.0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0.0,25_26,9,19/10/2025,1,[]
Diego Rico,ESP,32,DF,16,getafe,real madrid,1,90,0,0,0.0,0.3,0,0,0,23,52.2,0,0,0.0,0.0,0.0,3,4,4,0,3,0,0,0,0,1,0,1,11,36.0,12.0,0,1,0,100.0,25_26,9,19/10/2025,1,"[{'intercepciones': [6, 23.0]}]"
Djené,TOG,33,DF,2,getafe,real madrid,1,90,0,0,0.0,0.0,1,1,0,18,72.2,0,0,0.0,0.0,0.0,6,3,3,0,0,1,1,0,7,0,0,0,8,32.0,11.0,0,2,0,100.0,25_26,9,19/10/2025,1,"[{'amarillas': [2, 14.0]}, {'rojas': [10, 1.0]}]"
Domingos Duarte,POR,30,DF,22,getafe,real madrid,1,90,0,0,0.0,0.0,0,0,0,18,72.2,1,0,0.0,0.0,0.0,4,1,1,0,1,1,1,0,7,0,0,0,9,51.0,3.0,0,0,3,0.0,25_26,9,19/10/2025,1,"[{'despejes': [2, 107.0]}]"
Iglesias,ESP,27,DF,21,getafe,real madrid,1,90,0,0,0.0,0.0,0,0,0,24,33.3,0,0,0.0,0.0,0.0,2,4,4,0,0,0,0,0,2,3,1,2,14,70.0,6.0,0,0,0,0.0,25_26,9,19/10/2025,1,"[{'entradas': [4, 45.0]}, {'faltas_cometidas': [7, 27.0]}, {'faltas_recibidas': [8, 33.0]}]"
Kiko Femenía,ESP,34,DF,17,getafe,real madrid,1,75,0,0,0.0,0.0,0,0,0,24,83.3,1,0,0.0,0.0,0.0,10,3,5,0,2,0,0,0,6,0,0,0,8,59.0,32.0,1,0,0,0.0,25_26,9,19/10/2025,1,"[{'rojas': [10, 1.0]}]"
Allan Nyom,CMR,37,DF,12,getafe,real madrid,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,25_26,9,19/10/2025,1,"[{'rojas': [2, 1.0]}]"
